STRATHVAICH (LUIBACHLAGGAN),,,,,,,,,,,,
Grid ref,NH 34538 75907,Long,-4.781379,Lat,57.742298,Elevation,830,ft,,,,
Station no,5776/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,
January,,,,,,,5.27,6.1,10.3,6.72,7.65,
February,,,,,,,0.98,6.45,8.17,5.1,4.5,
March,,,,,,,2.2,6.18,4.1,3.45,4,
April,,,,,,,10,4.23,5.75,8.9,,
May,,,,,,,2.29,2.76,3.39,1.6,,
June,,,,,,,2.49,3.77,1.97,3.57,,
July,,,,,,,2.84,3.24,2.01,4.6,,
August,,,,,,4,0.3,4.66,4,4.5,,
September,,,,,,7.06,9.08,6.8,2.73,14.1,,
October,,,,,,1.13,2.44,6.25,3.1,6.05,,
November,,,,,,6.71,9.15,6.2,5.13,5.9,,
December,,,,,,5.21,5.2,7.23,12.7,5.35,,
Total,,,,,,,52.24,63.87,63.35,69.84,,
,,,,,,,,,,,,
1946 -999 Deleted,,,,,,,,,,,,
1951 Transcribed,,,,,,,,,,,,
1951 G Moved,,,,,,,,,,,,
Site now under water,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5776/5,,,,,,,,,,,
Midas,14547,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,
