"STRATHVAICH (LUIBACHLAGGAN)",,,,,,,,,,,,
Grid ref,NH350782,Long,-4.775200,Lat,57.763039,,,,,,,
Station no,5776/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6.50,6.65,5.30,3.50,6.91,5.02,5.32,4.08,5.59,,
February,,4.00,4.25,4.05,2.84,4.46,3.76,5.38,2.40,3.71,,
March,,3.00,2.45,4.30,1.37,2.38,3.50,3.08,2.46,0.98,,
April,,1.82,4.35,3.70,2.13,1.10,0.96,2.82,6.13,4.48,,
May,,3.57,3.50,4.65,3.81,4.47,1.30,4.19,3.41,1.29,,
June,,3.00,2.20,1.70,1.66,1.70,2.33,2.79,3.83,3.00,,
July,,2.22,4.50,2.75,0.86,5.92,4.91,1.74,6.20,2.69,,
August,,4.28,2.75,1.80,0.46,5.50,8.17,4.39,3.69,7.43,,
September,,5.10,3.75,6.25,5.66,3.03,5.12,2.68,2.11,2.09,,
October,,6.28,1.50,8.25,6.21,5.16,5.37,7.53,8.46,3.96,,
November,,5.85,7.85,5.50,1.86,7.09,4.82,2.09,8.13,3.57,,
December,,6.60,5.05,13.40,10.21,3.06,9.32,7.39,6.05,8.29,,
Total,,52.22,48.80,61.65,40.57,50.78,54.58,49.40,56.95,47.08,,
Calc annual,0.00,52.22,48.80,61.65,40.57,50.78,54.58,49.40,56.95,47.08,,
Difference,NaN,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
