STRATHVAICH (LUIBACHLAGGAN),,,,,,,,,,
Grid ref,NH350782,Long,-4.7752,Lat,57.763039,Elevation,850,ft,,
Station no,5776/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.5,6.65,5.3,3.5,6.91,5.02,5.32,4.08,5.59
February,,4,4.25,4.05,2.84,4.46,3.76,5.38,2.4,3.71
March,,3,2.45,4.3,1.37,2.38,3.5,3.08,2.46,0.98
April,,1.82,4.35,3.7,2.13,1.1,0.96,2.82,6.13,4.48
May,,3.57,3.5,4.65,3.81,4.47,1.3,4.19,3.41,1.29
June,,3,2.2,1.7,1.66,1.7,2.33,2.79,3.83,3
July,,2.22,4.5,2.75,0.86,5.92,4.91,1.74,6.2,2.69
August,,4.28,2.75,1.8,0.46,5.5,8.17,4.39,3.69,7.43
September,,5.1,3.75,6.25,5.66,3.03,5.12,2.68,2.11,2.09
October,,6.28,1.5,8.25,6.21,5.16,5.37,7.53,8.46,3.96
November,,5.85,7.85,5.5,1.86,7.09,4.82,2.09,8.13,3.57
December,9,6.6,5.05,13.4,10.21,3.06,9.32,7.39,6.05,8.29
Total,,52.22,48.8,61.65,40.57,50.78,54.58,49.4,56.95,47.08
,,,,,,,,,,
1951 Transcribed,,,,,,,,,,
,,,,,,,,,,
Station no,5776/5,,,,,,,,,
Midas,14547,,,,,,,,,
Hyd Stn,791047,,,,,,,,,
