STAFFORD-RIVERWAY-VICTORIA-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ920229,Long,-2.1201065,Lat,52.803594,Elevation,245,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.83,1.96,2.54,1.19,3.39,3.39,3.22,6.41,3.22,3.85,4.06,4.57,3.17,2.5,2.68,2.14,4.78,1.44,0.72,2.16,,,,,,,,,
February,,0.2,4.14,0.27,2.84,1.85,4.53,0.74,1.41,2.72,3.23,1.46,1.3,2.14,2.23,4.28,1.67,1.42,0.63,4.05,2.39,,,,,,,,,
March,,1.8,2.67,2.86,0.57,1.85,2.54,0.54,1.36,2.48,2.8,2.62,0.82,0.61,1.31,0.72,5.06,1.17,1.94,0.78,3.88,,,,,,,,,
April,,2.68,1.28,1.8,2.93,1.81,2.21,0.23,1.78,3.57,1.55,1.14,1.29,2.16,1.56,1.57,2.03,1.94,2.2,2.7,2.2,,,,,,,,,
May,,5.12,1.26,0.92,0.84,0.71,2.17,2.34,1.47,2.02,2.96,3.15,2.64,1.17,4.34,2.2,3.21,1.55,1.37,0.98,2.79,,,,,,,,,
June,,0.47,2.81,1,3.87,4.14,0.55,1.93,1.91,0.87,1.35,0.86,2.64,2.54,2.81,3.27,1.36,3.75,0.38,1.48,1.7,,,,,,,,,
July,,3,2.75,1.55,0.56,4.81,3.07,3.56,5.88,2.97,3.38,2.07,1.69,3.35,1.56,2.23,3.76,1.64,1.98,1.98,1.31,,,,,,,,,
August,,1.68,1.23,3.27,2.12,0.87,0.91,3.37,3.59,0.46,3.65,1.87,2.21,1.9,2.74,6.68,0.76,3.81,1.54,4.9,3.95,,,,,,,,,
September,,2.53,1.16,1.9,3.92,3.65,3.39,2.06,0.75,1.24,0.53,1.36,3.06,3.15,2.25,3.84,1.28,2.35,0.78,4.12,3,,,,,,,,,
October,,5.52,5.02,3.28,4.18,1.91,2.06,3.63,3.55,3.88,3.17,3.16,2.29,3.3,4.33,0.39,0.36,2.21,3.97,1.39,0.96,,,,,,,,,
November,,2.66,1.15,2.41,5.41,2.83,1.41,3.92,4.34,7.21,3.41,0.94,2.58,4.24,0.34,4.7,2.25,1.64,2.56,3.2,5.71,,,,,,,,,
December,,0.96,0.45,4.42,3.31,2.24,3.7,3.32,2.44,2.48,1.89,3.17,1.33,1.69,2.25,2.58,2.2,4.26,1.8,2.8,2.4,,,,,,,,,
Total,,29.45,25.88,26.22,31.74,30.06,29.93,28.86,34.89,33.12,31.77,25.86,26.42,29.42,28.22,35.14,26.08,30.52,20.59,29.1,32.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is in Victotia Park. Altitudes match. Gauge moved here 1 Jan 1932 but retained the same station number. Gauge moved about 1km east to Riverway Nurseries sometime ia 1951 to 1953; for this record assumed to be end of 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
