STAFFORD-RIVERWAY-DEPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ925230,Long,-2.1126922,Lat,52.8045,Elevation,249,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.63,3.3,1.41,2.4,2,2.89,3.48,2.52,3.83,2.1,2.64,1.91,2.43,2.19,4.77,1.7,4.22,2.03,,,,,,,,,
February,,,,,1.69,2.79,4,1.12,2.17,1.99,2.12,0.27,2.56,4.6,0.81,3.29,2.49,1.53,3,0.47,0.5,2.69,,,,,,,,,
March,,,,,2.75,1.22,3.21,1.9,1.58,5.25,2.37,1.47,2.51,1.71,0.99,1.13,1.08,2.18,2.27,0.51,3.31,0.2,,,,,,,,,
April,,,,2.92,1.01,1.13,1.42,1.55,1.54,1.5,4.25,1.26,2,2.29,2.6,1.15,1.81,2.08,1.99,0.76,2.37,4.19,,,,,,,,,
May,,,,1.72,1.71,1.94,2.39,2.7,2.92,1.17,3.92,1.76,0.99,2.49,4.1,3.9,4.56,1.61,0.22,2.14,2.25,3.71,,,,,,,,,
June,,,,1.39,1.76,1.02,2.57,2.58,0.97,1.34,2.89,0.81,0.76,0.4,2.52,0.16,2.03,5.25,3.31,1.5,1.3,4.91,,,,,,,,,
July,,,,1.2,4.02,5.96,1.98,2.16,3.35,3.15,4.84,0.59,4.61,5.25,3.16,3.84,2.03,2.62,1.59,1.8,6.49,3.36,,,,,,,,,
August,,,,2.13,1.77,1.96,2.37,5.31,2.36,2.27,1.23,3.61,3.98,2.3,3.62,2.2,2.02,4.75,3.2,1.96,2.79,5.49,,,,,,,,,
September,,,,2.22,1.28,0.7,1.33,1.38,6.45,2.13,1.82,0.82,2.56,2.44,3.68,4.38,1.11,4.48,1.31,0.78,3.68,3.51,,,,,,,,,
October,,,,3.58,1.37,2.31,3.65,4.54,1.46,3.01,2.39,2.48,0.36,3.42,3.65,3.93,2.54,2.08,3.84,3.68,3.35,0.9,,,,,,,,,
November,,,,2.11,3.42,2.76,2.7,1.92,1.73,1.6,0.89,1.8,1.04,1.96,1.66,1.83,4.42,3.43,4.16,6.29,3.51,3.89,,,,,,,,,
December,,,,1.49,6.53,4.68,2.97,1.39,3.94,4.04,2.42,2.43,4.4,4.43,2.4,2.2,0.75,1.84,2.4,4.64,2.73,1.29,,,,,,,,,
Total,,,,,28.94,29.77,30,28.95,30.47,30.34,32.62,19.82,29.6,33.39,31.83,29.92,27.27,34.04,32.06,26.23,36.5,36.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the Corporation depot with correct relationship to church. Altitudes match. Gauge moved to Victoria Pleasure Grounds 1 Jan 1932 about 780 yards W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
