WARSOP,,,,,,,,,,
Grid ref,SK561677,Long,-1.1615842,Lat,53.203421,Elevation,190,ft,,
Station no,2627/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.54,2.03,1.91,1.8,3.46,3.91,2.1,4.69,2.24
February,,0.6,3.55,0.75,2.38,2.08,3.28,0.65,0.98,2.17
March,,1.36,2.57,2.46,1.09,1.39,2.01,0.07,1.68,1.38
April,,2.4,0.73,2.21,2.4,1.56,2.07,0.14,1.55,1.59
May,,6.06,2.18,1.04,0.41,0.6,3.06,2.17,1.12,1.01
June,,0.49,1.34,0.77,2.99,3.11,0.86,1.5,1.53,1.36
July,,4.9,2.15,1.97,0.43,5.23,2.44,3.86,3.41,3.54
August,,1.12,0.32,1.34,1.51,2.06,0.92,1.68,3.09,0.32
September,,1.56,1.22,1.3,4.13,2.05,1.23,1.76,1.13,0.9
October,,3.23,4.08,1.54,3.29,2.31,3.22,2.14,3.07,4.93
November,,1.69,1.89,1.81,4.93,2.79,1.41,2.6,3.03,5.33
December,,0.79,0.44,3.92,3.16,2.24,3.48,3.92,1.24,0.89
Total,,25.74,22.5,21.02,28.52,28.88,27.89,22.59,26.52,25.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Note: Roof Gauge,,,,,,,,,,
