MORDEN-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ260686,Long,-0.18998,Lat,51.40292,Elevation,48,ft,,,,,,,,,,,,
Station no,152/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.52,1.27,3.09,0.87,0.91,3.15,1.89,0.94,1.28,2.08,3.64,1.46,1.96,2.02,1.71
February,,,,,,2.13,1.4,1.38,0.96,3.92,6.39,0.96,1.16,2.04,1.39,0.4,2.79,2.31,0.07,1.49
March,,,,,,1.21,5.33,0.79,0.89,0.56,2.94,2.18,0.49,2.23,1.08,0.95,0.67,1.1,2.05,1.92
April,,,,,,2.14,1.54,1.18,1.83,3.2,2.49,1.28,2.18,0.33,0.29,1.28,0.31,1.56,1.74,0.8
May,,,,,,3.68,1.24,1.84,2.03,1.61,2.21,1.97,1.55,2.56,4.11,0.39,1.49,2.83,0.66,2.02
June,,,,,,1.81,2.27,2.4,0.65,1.55,0.99,1.63,1.16,3.79,2.16,2.39,1.07,4.85,0.9,1.42
July,,,,,,1.49,1.54,1.02,1.32,3.09,2.02,0.68,3.38,3.17,0.87,5.3,3.03,2.38,0.97,2.76
August,,,,,,4.21,0.28,3.35,1.26,1.81,2.58,2.63,1.46,2.82,1.31,3.23,4.6,3.23,0.79,3.73
September,,,,,,2.86,1.37,1.15,0.57,2.73,2.93,3.31,2.18,2.29,1.91,2.04,2.3,4.27,0.08,3.15
October,,,,,,0.83,0.32,2.46,5.77,0.44,1.01,2.66,3.05,2.34,2.88,1.33,1.81,2.77,2.27,4.84
November,,,,,0.19,3.52,1.09,1.55,2.36,4.9,5.89,2.96,1.04,4.35,0.62,0.56,2.22,1.64,3.37,3.74
December,,,,,2.77,2.45,2.58,3.26,1.22,1.8,2.17,2.39,0.6,1.68,1.97,2.54,1.98,2.65,3.21,2.42
Total,,,,,,27.85,20.23,23.47,19.73,26.52,34.77,24.54,19.19,28.88,20.67,24.05,23.73,31.55,18.13,30
,,,,,,,,,,,,,,,,,,,,
1945 Oct 9 Recording and check gauges moved from Morden Rec Ground,,,,,,,,,,,,,,,,,,,,
1954 Oct 27 Inspection Reasonable ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SRC_ID 6636,,,,,,,,,,,,,,,,,,,,
1945-1995,,,,,,,,,,,,,,,,,,,,
