MORDEN-HALL-(REC-GROUND),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ258673,Long,-0.19207,Lat,51.39157,Elevation,118,ft,,,,,,,,,,,,
Station no,152/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,4.73,2.21,4.37,2.2,2.24,2.33,5.25,1.4,1.56,,,,,
February,,,,,,,4.07,0.53,1.21,1.5,1.88,0.75,1.85,0.8,1.32,,,,,
March,,,,,,,2.77,0.47,1.07,3.21,3.05,1.85,0.31,0.07,1.15,,,,,
April,,,,,,,2.38,0.13,2.55,1.68,1.26,1,0.91,1.26,1.18,,,,,
May,,,,,,,2.55,1.62,1.6,1.18,1.65,3.25,2.09,0.75,3.01,,,,,
June,,,,,,,1.99,0.62,1.01,0.54,2.74,1.41,1.23,2.12,1.24,,,,,
July,,,,,,,0.75,1.16,2.72,2.57,4.61,2.04,1.59,2.87,3.16,,,,,
August,,,,,,,3.2,2.47,2.56,0.09,4.39,1.89,1.58,2.55,1.83,,,,,
September,,,,,,,1.68,2.4,1.54,1.29,0.43,1.25,1.42,2.53,1.88,,,,,
October,,,,,,2.09,2.89,2.33,5.64,2.36,0.86,4.02,2.65,3.26,,,,,,
November,,,,,,3.54,1.35,3.48,4.29,7.29,2.69,2.12,1.02,3.56,,,,,,
December,,,,,,2.78,4.14,3.13,1.04,1.09,1.69,2.67,1.63,1.78,,,,,,
Total,,,,,,,32.5,20.55,29.6,25,27.49,24.58,21.53,22.95,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown but this NGR fits distances and ground fairly flat,,,,,,,,,,,,,,,,,,,,
1938 Dec Part estimated for snow,,,,,,,,,,,,,,,,,,,,
1945 Oct 9 Recording and check gauges moved to Morden Hall 3/4m NNE,,,,,,,,,,,,,,,,,,,,
