SOWERBY BRIDGE HAUGH END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE053231,Long,-1.921193,Lat,53.704305,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.54,1.11,5.25,4.26,1.58,3.06,2.62,7.87,6.12,3.23,2.93,4.92,4.74,2.08,6.01,1.94,3.59,3.14,5.57,2.23,5.75,4.34,3.83,6.98,4.34,3.09,3.76,5.94,6.1,7.91,4.68,3.84,3.48,5.47,4.32,3.68,10.6,1.38,6.11,5.24,,,,,,,,,
February,,,3.34,5.72,8.47,0.69,1.63,4.06,4.37,2.41,4.46,1.85,1.44,5.23,5.3,2.5,3.98,3.27,3.73,2.04,4.09,5.1,2.16,2.06,3.48,5.51,7.08,0.75,6.65,2.01,4.34,0.35,4.88,6.68,1.87,7.97,4.38,1.61,6.05,0.33,0.96,6.17,,,,,,,,,
March,,,1.45,1.33,4.87,3.79,5.81,5.74,2.09,2.92,1.32,4.32,2.37,7.56,2.62,3.86,3.8,3.95,3.76,3.81,0.89,1.71,4.62,6.08,5.23,1.2,4.36,3.69,1.77,6.46,3.86,3.72,3.39,2.51,1.51,1.76,1.68,4.1,2.72,0.79,3.34,0.16,,,,,,,,,
April,,,1.74,1.03,2.93,2.73,1.91,3.22,3.86,3.37,2.46,2.26,2.55,2.12,2.86,3.05,1.57,3.05,2.34,3.76,3.98,2.12,1.16,4.66,1.64,1.71,3.01,2.45,1.11,1.76,5.33,1.62,4.44,3.21,2.2,4.88,2.05,3.47,1.07,1.42,3.15,3.65,,,,,,,,,
May,,,3.93,1.91,2.21,0.78,0.46,1.75,3.23,3.26,1.65,1.37,2.97,4.05,3.58,0.63,3.2,3.86,1.94,2.48,2.68,1.75,3.38,2.49,2.14,2.01,2.54,1.88,2.54,1.89,5.34,1.76,1.54,4.5,4.93,4.06,5.56,1.43,1.58,2.71,2.07,2.8,,,,,,,,,
June,,,3.71,2.33,3.22,5.31,2.93,3.66,3.09,1.96,3.53,1.25,1.42,1.22,0.7,2.51,1.78,5.93,1.72,2.6,3.42,2.91,6.43,2.06,2.12,1.34,2.69,2.13,1.45,1.36,3.08,0.14,2.13,0.73,2.11,0.09,2.47,3.6,6.47,1.1,2.03,5.64,,,,,,,,,
July,,,2.47,3.3,4.13,5.9,1.79,1.15,0.87,1.93,2.87,1.81,2.34,2.83,2.66,2.4,1.87,2.17,3.45,4.58,3.13,0.33,6.06,1.02,3.91,4.91,2.13,1.57,3.41,2.86,7.59,1.65,5.13,4.11,3.55,1.12,4,2.74,1.02,1.76,5.34,3.25,,,,,,,,,
August,,,3.76,2.74,3.81,3.36,1.86,3.28,5.11,1.81,5.95,2.21,3.4,4.11,5.42,5.35,3.18,2.91,3.37,2.83,4.78,2.15,6.68,1.65,2.03,5.92,2.23,7.67,2.14,3.26,1.42,4.71,6.27,5.28,4.08,3.7,3.12,6.3,4.19,3.08,5.61,5.32,,,,,,,,,
September,,,3.77,3.06,0.46,1.84,7.66,3.42,0.53,7.86,0.98,1.1,1.87,5.62,0.93,2.44,1.06,0.61,2.79,2.87,0.19,3.09,1.92,1.66,3.07,0.41,2.01,1.64,11.12,1.44,1.81,1.65,4.18,4.58,5.25,2.69,3.12,5.49,0.37,1.14,5.21,3.81,,,,,,,,,
October,,,8.11,4.15,5.97,4.88,5.77,2.11,5.33,4.22,5.69,3,3.85,11.39,1.33,2.94,6.68,5.89,2.35,4.93,3.58,3.33,4.87,1.8,2.5,1.79,8.3,7.84,2.87,2.81,2.53,3.22,1.17,5.83,4.92,4.84,4.45,4.3,5.21,4.57,6.17,1.95,,,,,,,,,
November,,,2.94,2.98,2.97,4.78,1.66,4.8,3.17,2.33,3.83,6.23,2.61,2.94,2.8,4.19,4.85,3.33,3.27,1.43,5.03,5.03,4.01,5.14,6.41,2.74,3.91,3.85,2.21,3.72,2.55,2.39,2.65,7.55,2.63,1.87,5.34,4.65,6.9,7.6,5.4,6.85,,,,,,,,,
December,,,1.89,4.86,3.99,5.12,4.84,6.47,5.55,3.01,5.93,7.84,4.88,3.12,2.48,0.85,3.92,4.22,2.44,6.84,4.7,6.05,6.42,4.26,8.94,8.71,3.48,2.69,7.33,7.04,4.59,7.36,6.1,3.81,5.73,3.45,1.33,2.05,2.81,9.01,3.32,1.68,,,,,,,,,
Total,,,41.65,34.52,48.28,43.44,37.9,42.72,39.82,42.95,44.79,36.47,32.63,55.11,35.42,32.8,41.9,41.13,34.75,41.31,42.04,35.8,53.46,37.22,45.3,43.23,46.08,39.25,46.36,40.55,48.54,36.48,46.56,52.63,42.26,41.9,41.82,43.42,48.99,34.89,48.71,46.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 all transcribed as -999 although highly legible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
