GLEN MUICK (INCHNABOBART),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO310876,Long,-3.136687,Lat,56.974438,Elevation,1270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5626/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.51,4.44,1.94,6.11,13.51,7.8,4.76,1.99,5.61,4.72,6.57,3.08,4.87,3.98,6.67,6.17,2.7,1.41,4.07,2.57,1.17,3.5,2.85,5.04,5.04,4.72,4.27,5
February,,,7.75,0.66,3.28,3.75,5.18,3,4.82,3.12,5.8,2.37,3.06,2.38,1.63,2.48,3.27,2.58,2.79,3.89,4.92,1.15,1.36,4.12,6.3,2.45,5,4.5,0.54,4.91
March,,,2.56,3.97,1.87,2.81,8.98,0.98,4.03,2.5,3.09,1.26,1.53,1.3,0.53,5.54,6.73,1.7,1.75,3.19,2.69,4.02,0.51,3.51,3.76,2.36,3.09,4.72,3.15,2
April,,,1.87,7.39,6.06,1.18,1.59,0.87,1.6,2.42,3.9,2.07,2.41,1.62,1.8,1.02,5.19,1.83,2.82,3.56,4.12,1.53,3.77,1.55,0.88,1.79,1.8,3.02,3.99,4.01
May,,,1.24,3.96,1.58,1.26,1.88,4.48,1.58,1.53,3.88,4.53,3.86,2.87,4.73,2.67,4,3.47,2.42,1.63,2.53,2.98,3.33,6.14,3.72,1.18,2.14,3.46,1.22,1.77
June,,,2.02,2.21,3.71,1.48,1.91,4.89,2.66,0.56,0.63,1.77,2.03,2.85,2.72,3.45,3.71,5.07,1.35,1.36,1.51,2.53,4.62,1.75,1.03,3.35,3.04,2.62,2.13,1.42
July,,,4.73,3.81,0.57,5.54,4.42,5.62,4.99,8.49,2.22,3.09,1.24,1.18,2.37,5.07,3.27,2.9,3.08,2.93,2.72,1.89,4.59,2.6,0.88,4.8,6.02,5.54,3.83,4.05
August,,0.68,0.83,5.05,2.09,1.28,3.15,2.25,3.8,1.43,4.32,3.92,4.36,1.74,2.73,3.71,0.42,8.51,2.57,4.21,6.42,3.1,1.93,3.01,0.74,5.66,4.74,4.07,1.37,6.14
September,,2.6,2.95,4.17,4.45,2.8,1.24,3.41,3.02,1.8,1.67,4,4.05,5.17,3.11,6.62,3.29,2.59,2.08,7.35,2.35,2.37,4.23,3.26,1.75,5.01,2.72,4.22,0.72,3.65
October,,10.32,7.57,5.28,7.14,2.55,4.1,5.29,11.7,5.53,3.18,3.7,5.58,7.06,4.81,0.32,2.4,2.76,4.05,1.78,1.47,7.04,,5.75,3,2.97,1.62,2.88,5.29,9.57
November,,2.41,4.46,3.42,6.58,3.36,1.09,7.36,7.26,7.87,8.57,1.05,3.31,6.75,1.32,7.9,4.18,1.34,4.68,4.49,12.85,3.28,,10.9,2.39,2.03,3.21,1.02,8.77,5.63
December,,8.21,1.85,10.12,2.55,4.83,7.58,5.07,2.63,3.95,2.78,6.3,1.91,4.21,10.13,5.4,2.68,7.99,4.62,2.41,4.82,4.45,,6.83,7.97,9.61,6.36,5.37,9.72,2.91
Total,,,42.34,54.48,41.82,36.95,54.63,51.02,52.85,41.19,45.65,38.78,39.91,40.21,40.75,48.16,45.81,46.91,34.91,38.21,50.47,36.91,,52.92,35.27,46.25,44.78,46.14,45,51.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No of adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
