BEDFORD-STEWARTBY-SCHOOL,,,,,,,,,,
Grid ref,TL021421,Long,-0.51192,Lat,52.067871,Elevation,125,ft,,
Station no,1173/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.13,1.9,3.69,0.94,1.81,,
February,,,,2.46,1.4,0.33,2.88,1.41,,
March,,,,2.02,1.14,0.48,1.52,1.09,,
April,,,,,0.48,1.04,0.13,0.96,,
May,,,,2.61,3.72,0.41,1.26,1.99,,
June,,,,3.1,2.12,1.82,1.23,4.04,,
July,,,,,0.18,4.28,3.23,1.53,,
August,,,,,0.65,2.74,3.81,,,
September,,,,1.51,1.32,1.68,2.37,3.48,,
October,,,,,1.56,1.7,1.51,,,
November,,,,3.74,1.18,1,1.6,,,
December,,,,,2.17,1.84,1.03,,,
Total,,,,,17.82,21.01,21.51,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1954 Apr Jul Aug Oct Dec estimated,,,,,,,,,,
1958 Aug estimated,,,,,,,,,,
