TORRINGTON-TORRIDGE-VALE-SW,,,,,,,,,,
Grid ref,SS482191,Long,-4.16225,Lat,50.9517,Elevation,54,ft,,
Station no,1855/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.29,5.41,4.03
February,,,,,,,,4.06,0.23,3.46
March,,,,,,,,0.74,3.63,2.14
April,,,,,,,,1.01,2.86,3.1
May,,,,,,,,3.26,1.32,1.6
June,,,,,,,,2.76,1.4,1.25
July,,,,,,,,2.69,3.08,5.77
August,,,,,,,,3.95,1.01,4.63
September,,,,,,,,6.39,0.31,5.95
October,,,,,,,,4.1,5.84,7.54
November,,,,,,,,3.08,9.35,7.42
December,,,,,,,,3.94,8.79,6.93
Total,,,,,,,,40.27,43.23,53.82
,,,,,,,,,,
,,,,,,,,,,
NGR taken from MIDAS,,,,,,,,,,
1958 July Rim of gauge adjusted to 1ft above ground,,,,,,,,,,
,,,,,,,,,,
Post 1960 station known as TORRIDGE VALE S WKS SRC_ID 8870,,,,,,,,,,
Station used until 2013,,,,,,,,,,
