"SHAPINSAY (BALFOUR CASTLE)",,,,,,,,,,,,
Grid ref,HY474164,Long,-2.918105,Lat,59.031381,,,,,,,
Station no,5826,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,4.28,4.80,2.80,2.55,3.52,3.82,6.25,4.62,2.01,,
February,3.32,2.74,2.64,3.15,2.36,1.21,2.95,3.48,0.82,2.20,,
March,3.95,3.01,1.30,2.25,1.24,2.08,4.15,2.64,0.68,1.72,,
April,3.52,1.25,2.88,1.70,1.18,1.12,1.48,1.50,2.43,2.01,,
May,0.20,2.48,2.04,2.30,1.36,2.52,1.95,2.56,1.66,1.40,,
June,1.19,2.65,1.29,4.33,0.67,2.04,1.65,0.63,2.45,2.28,,
July,2.59,1.87,1.59,2.03,0.18,3.52,3.33,1.90,2.40,1.34,,
August,3.95,6.05,2.10,2.85,0.80,3.45,3.03,2.36,1.45,1.48,,
September,1.14,3.54,2.89,4.08,4.18,2.75,4.37,1.17,0.79,1.19,,
October,2.16,3.85,2.20,8.19,4.05,2.50,7.56,4.12,3.29,3.09,,
November,7.20,3.80,5.64,6.48,1.45,3.55,2.26,2.02,3.60,2.25,,
December,7.08,4.12,2.90,6.25,6.80,5.63,5.25,6.05,3.61,3.30,,
Total,39.55,39.64,32.27,46.41,26.82,33.89,41.80,34.70,27.80,24.27,,
Calc annual,39.55,39.64,32.27,46.41,26.82,33.89,41.80,34.68,27.80,24.27,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,,
