SHAPINSAY BALFOUR CASTLE,,,,,,,,,,,,
Grid ref,HY474164,Long,-2.918105,Lat,59.031381,,,,,,,
Station no,5826,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.92,3.90,2.45,3.50,2.90,2.90,3.30,3.85,2.18,3.84,,
February,2.15,2.40,1.10,5.00,2.45,3.33,3.90,2.45,3.05,1.21,,
March,1.40,2.23,2.00,2.70,2.15,2.70,1.90,3.25,3.38,1.70,,
April,1.45,2.00,1.00,3.10,3.55,3.40,1.64,1.08,1.72,1.61,,
May,1.40,1.10,1.70,1.25,1.20,1.05,2.10,1.05,1.82,0.85,,
June,0.90,2.68,1.30,0.92,1.50,0.40,0.30,2.29,1.59,2.31,,
July,2.96,1.20,2.15,2.80,0.80,2.15,1.76,1.00,1.18,2.03,,
August,2.40,0.40,1.60,5.10,2.65,3.15,2.40,2.89,1.55,2.25,,
September,2.73,1.45,2.38,2.65,2.40,2.61,2.68,0.85,2.82,1.93,,
October,4.55,4.15,2.68,5.55,2.61,4.30,2.82,2.19,1.15,4.53,,
November,3.82,3.20,1.72,4.51,2.90,3.80,4.59,3.20,3.75,5.09,,
December,4.85,5.10,4.10,2.85,4.20,1.95,4.52,2.41,4.15,4.06,,
Total,32.53,29.81,24.18,39.93,29.31,31.74,31.91,26.51,28.34,31.41,,
Calc annual,32.53,29.81,24.18,39.93,29.31,31.74,31.91,26.51,28.34,31.41,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
