SHAPINSAY (BALFOUR CASTLE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HY474164,Long,-2.918105,Lat,59.031381,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.2,2.8,2.2,1.3,2.35,3.6,1.1,2.55,2.7,4.7,4.2,3.4,2.3,3.3,5.3,2.1,5,5.6,2.5,3.4,2,1.1,2.3,0.9,2.4,3,6.1,2,6,4,2.5,3.4,4,2.6,5.76,1.95,4.3,4.35,3.21,2.5,3.81,4.03,3.92,3.9,2.45,3.5,2.9,2.9,3.3,3.85,2.18,3.84,4.05,2.95,2.02,1.65,2.75,3.75,5.2,4,1.9,2.75,3.6,4.5,2.9,4.03,3.05,2.25,3.05,3.74,4.61,1.43,3.75,4.04,3.75,2.75,3.43,4.03,2.65,4.8,5.2,3.28,1.89,1.9,5.09,2.7,5.02,3.6,2.65,2.78,3.79,6.87,4.55,3.25,4.28,4.8,2.8,2.55,3.52,3.82,6.25,4.62,2.01
February,,,,,,,,,0.3,2,1.3,0.5,1.1,2,4.2,1.9,3.8,3.5,4.4,4.3,2.1,3.3,3.1,0.1,1.2,1.2,2.2,3.4,0.6,0.4,4.2,5,3.5,3.4,1,2.5,1,1.8,2,4,2,1.8,3.24,2.84,4.2,1.97,2,1.6,7.54,1.5,2.15,2.4,1.1,5,2.45,3.33,3.9,2.45,3.05,1.21,2.43,3.76,3.33,1.95,3.05,2.75,2.25,1.3,3.75,1.4,3.8,1.5,2.1,3.75,2.55,3.35,2.2,2.05,3.4,0.9,0.85,4.94,0.54,4.45,2.92,3.03,3.03,3.4,2.5,2.2,1.9,2.83,2.45,5.34,2.74,3.55,4,0.94,2.49,2.93,3.18,3.32,2.74,2.64,3.15,2.36,1.21,2.95,3.48,0.82,2.2
March,,,,,,,,,2.5,3.5,2.6,3.4,1.7,1.3,3.1,2.2,2,1.5,3.8,2.3,1,1.5,1.6,1.9,2.7,0.5,4.6,2,1.9,1.5,2.1,2.8,5.6,1.8,3.8,3,0.8,1.3,2.6,3.5,3.5,3.3,1.53,1.4,2.09,2.45,2.48,3.4,4.33,3.08,1.4,2.23,2,2.7,2.15,2.7,1.9,3.25,3.38,1.7,1.3,1.2,3.05,2.1,2.95,1.9,2.26,3,1.6,3.1,3.6,2.65,1.55,0.75,1.3,1.75,3.5,1.6,1.63,0.47,2.45,3.8,3.8,3.1,2.58,2.3,1.51,2.2,3.45,2.13,3.49,1.12,1.45,2.96,1.6,2.5,2,1.3,2.1,3.45,3.22,3.95,3.01,1.3,2.25,1.24,2.08,4.15,2.64,0.68,1.72
April,,,,,,,,,2,2.4,2.4,0.5,2.5,2.6,1.1,1.1,0.6,3.7,2.5,3.3,3,1.3,3.1,0.8,1,2.2,2.1,1.3,0.1,1.3,1.3,1,2,1.9,0.5,1,1.5,1.7,2,1.4,1,0.3,2.07,0.85,0.22,2.35,2,1.4,3.08,2.6,1.45,2,1,3.1,3.55,3.4,1.64,1.08,1.72,1.61,2.85,2,2.23,1.35,1.4,2.3,2.05,3.1,1.2,2.4,2,1.3,2.7,2.4,1.75,2.5,2.2,5.1,1.3,1.67,1.45,1.6,4.12,2.5,4.84,3.33,1.01,0.6,1.25,1.04,2.74,1.55,0.38,2.08,2.27,2.05,2,2.9,1.4,2.63,2.36,3.52,1.25,2.88,1.7,1.18,1.12,1.48,1.5,2.43,2.01
May,,,,,,,,,0.4,0.05,1.9,2.2,2.35,2,1.5,1.25,1.5,0.9,1,0.6,1.7,0.6,1.6,1.1,0.6,1,1.2,1.8,1.9,2.4,1.2,1.5,0.8,2.8,1.8,1.6,2.4,0.5,2.2,0.4,1.8,3,3.54,0.78,1.94,0.86,1.8,1.65,3.06,2.21,1.4,1.1,1.7,1.25,1.2,1.05,2.1,1.05,1.82,0.85,0.95,1.4,3.13,1.47,1.85,0.3,2.5,1.25,1.25,0.3,3.05,1.8,2.6,3.7,1.73,2.05,1.25,1.25,1.3,0.95,2.07,3.5,1.06,1,2.1,0.57,1.12,0.25,2.6,0.6,1.45,1.04,1.75,1.78,2.03,2,0.8,0.68,1.94,1.97,0.75,0.2,2.48,2.04,2.3,1.36,2.52,1.95,2.56,1.66,1.4
June,,,,,,,,,0.8,1.9,1.4,0.5,1.9,1.3,1.3,1.07,2.1,1.6,1.8,1.1,1,0.3,4,1.2,0.8,1,1,2.6,1.2,0.3,1.5,1.8,2.8,0.6,0.8,3,1.5,1.2,0.8,0.3,2,1.5,2.43,0.28,1.09,1.82,2.25,0.5,1.78,1.58,0.9,2.68,1.3,0.92,1.5,0.4,0.3,2.29,1.59,2.31,1.52,1.75,1.04,2.2,1.05,0.4,3.2,1.95,1.2,2.5,0.28,1.55,1.5,1.2,1.33,0.9,1.4,2.13,1.6,1.9,2.2,2.4,0.38,0.98,1.05,0.72,0.89,2.6,4.1,1.15,0.9,0.4,1.18,1.5,3.2,2.3,2.3,1.56,1.6,1.07,3.14,1.19,2.65,1.29,4.33,0.67,2.04,1.65,0.63,2.45,2.28
July,,,,,,,,,3.4,1.6,0.18,2.6,1.3,0.5,2,2.1,1.2,2,1.3,1.8,0.4,2.3,2.1,2,1.9,2.5,2.1,1.6,1.2,1.9,2,4.5,2.2,1.6,1.6,1.5,3.5,3,1.9,0.5,3.8,4.4,2.5,3.25,3.65,2.15,2.8,1.84,1.96,2.08,2.96,1.2,2.15,2.8,0.8,2.15,1.76,1,1.18,2.03,1.28,1.95,1.6,0.5,2,1.61,1.2,0.47,5,0.8,2.45,1.7,2.75,2.05,2.2,1.5,1.1,1.35,2.35,1.03,1.8,2.05,2.48,1.67,3.05,2.6,3.5,1.51,1.6,4,4.27,2.52,2.1,2.61,1.05,1.85,3.3,1.2,1.28,1.14,2.94,2.59,1.87,1.59,2.03,0.18,3.52,3.33,1.9,2.4,1.34
August,,,,,,,,,2.2,1.5,4,8.1,0.95,3.2,1.9,3.2,3,1.8,6.6,1.8,0.7,3.3,3.1,2.2,2.5,2.2,2,1.5,1,4.3,0.2,1.8,1.4,3.6,2.6,1.1,1.6,1.4,2.5,5.8,3,3.6,3.12,2.26,3.45,2.5,3.12,1.94,3.48,1.22,2.4,0.4,1.6,5.1,2.65,3.15,2.4,2.89,1.55,2.25,3.03,3.02,3.72,0.85,1.15,1.95,0.8,2.05,4.5,7,0.55,2.15,2.8,4.3,3.1,1.7,2.05,0.75,0.87,4.03,6.03,0.4,2.4,1.3,3.1,3.03,2.02,1.52,1.15,1.48,4.1,2.8,2.5,2.28,1.37,2.25,1.9,0.04,2.37,2.54,2.97,3.95,6.05,2.1,2.85,0.8,3.45,3.03,2.36,1.45,1.48
September,,,,,,,,,2.4,1.7,1.9,3,2.3,5.3,2.8,1.6,2.9,5.2,1.3,7.5,3.8,2.7,3.4,2.8,4.6,2.2,2.6,0.4,4.6,2.2,4.6,0.6,4.5,4.4,1.5,3.8,1.3,2.2,1.1,3,3.6,2.95,3.63,5.1,0.25,2.4,5,4.5,2.74,4.4,2.73,1.45,2.38,2.65,2.4,2.61,2.68,0.85,2.82,1.93,1.2,2.2,0.9,1.77,2.25,2.95,1.85,3.75,3.8,3.5,2.6,2.5,2.7,3.76,4.2,4.02,3.7,2.45,1.9,5.65,4.2,0.55,3.46,1,3.1,4.5,2.77,2.6,1.9,1.3,3.81,1.75,4.15,3.12,2.78,2.25,3.4,4.47,3.3,2.4,4.85,1.14,3.54,2.89,4.08,4.18,2.75,4.37,1.19,0.79,1.19
October,,,,,,,,,3.3,6.2,4.9,4,4.2,3.3,5.1,4.28,2.2,5.7,5.5,2.6,2.5,2.3,6.2,6.2,3.7,2.2,5.1,3.4,4.3,3.8,3.5,3.5,2.8,4,7.1,4.3,1.6,3,4.2,2.5,6,2.52,4.3,8.48,2.68,4.8,5.54,3.2,3.6,4.25,4.55,4.15,2.68,5.55,2.61,4.3,2.82,2.19,1.15,4.53,1.7,1.6,4.02,2.68,1.95,0.8,5.22,6.85,2.6,2.3,0.8,3.2,1.6,5.5,3.3,3.16,7.53,5.03,3.5,6.85,4.55,4.4,4.02,2.7,5.8,6.65,3.7,3.3,5.03,1.5,2.5,2.95,6.22,2.78,3.61,3.7,0.45,2.14,5.45,3.4,3.05,2.16,3.85,2.2,8.19,4.05,2.5,7.56,4.12,3.29,3.09
