"GLEN FINLAS RESERVOIR",,,,,,,,,,,,
Grid ref,NS330893,Long,-4.684198,Lat,56.067294,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,8.50,7.90,8.90,10.88,,
February,,,,,,,5.40,7.40,6.10,9.01,,
March,,,,,,,6.50,7.90,8.60,2.33,,
April,,,,,,,3.10,3.70,2.50,5.16,,
May,,,,,,,8.60,5.80,4.80,6.46,,
June,,,,,,,2.40,9.30,4.10,4.47,,
July,,,,,,,5.20,3.70,8.80,7.11,,
August,,,,,,,7.50,11.20,4.50,5.79,,
September,,,,,,,4.70,3.30,16.20,3.16,,
October,,,,,,,10.40,6.00,2.50,10.34,,
November,,,,,,,7.40,6.90,4.70,4.50,,
December,,,,,,,7.10,9.70,7.50,9.43,,
Total,,,,,,,76.80,82.80,79.20,78.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,76.80,82.80,79.20,78.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
