CRAIGTON HILLHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO508392,Long,-2.801698,Lat,56.542211,Elevation,,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,6.6,1.1,,,,2.4,,2.8,3.02,4.2,3.02,5.42,6,4.35,4.82,2.48,3.55,2.2,1.09,2,3.48,3.23,5.84,3.5,3.05,3.83,3.05,7.5,3.82,4.9,2.1,2.12,4.9,3.8,3.1,6.9,1.77,5.98,3.12,2.53,1.94,1.87,1.59,3.84,4.2,2.14,5.04,2.58,3.04,1.64,3.73,1.34,2.48,2.09,3.67,4.03,0.98,2.13,1.29,,5.27,1.4,0.92,4.85,2.09,0.44,2.16,1.37,2.42,2.34,1.68,0.77,3.87,4.89,1.61,2.88,2.17,1.52,2.32,3.39,2.11,4.72,5.41,1.94,3.58,1.86,5.37,1.79,,,
February,5.1,,,,,3.61,,0.45,6.82,1.49,2.61,0.98,2.2,3,0.45,2.33,4.12,1.08,1.19,1.5,1.76,3.19,2.6,0.6,3.93,3.17,3.15,1.5,2.17,1.75,2.85,5.15,7,1.53,1.3,3.6,6.15,2.15,1.8,4.63,3.09,5.62,2.37,3.39,2.47,3.81,1.98,1.68,1.18,2.49,1.67,0.27,3.4,3.87,4.72,2.2,1.17,1.18,0.75,,3.88,1.68,1.85,2.77,4.65,1,1.02,1.17,0.59,0.96,2.19,1.29,3.03,0.75,2.81,4.49,3.1,1.61,2.17,2.75,2.04,0.51,3.62,6.43,1.54,4.27,5.71,1.74,,,
March,2,,,,,1.82,1.84,0.93,3.88,1.66,0.03,6,0.9,2.32,1.22,3.78,0.16,4.54,1.47,2,2.5,3.16,3.62,1.19,3.1,1.25,3.35,3,2.1,1.43,1.23,0.97,3.9,2.35,1.35,2.99,2.95,2.66,1.12,3.23,2.28,3.81,3.18,2.84,3.54,3.14,5.1,1.38,4.97,1.92,2.47,2.61,1.24,1.17,0.92,4.19,1.77,4.41,0.83,,1.91,1.87,1.12,2.85,2.21,3.73,1.09,1.8,4.02,5.62,1.38,0.98,2.61,3.66,4.47,2.17,3.5,2.14,1.53,2,1.91,2.27,2.32,1.71,0.97,1.28,0.75,3.15,,,
April,0.4,,,,,1.63,8.79,2.3,3.98,1.98,4.42,3,0.4,1.3,0.19,0.89,4.65,3.82,1.79,2.65,0.84,0.87,1.36,1.55,1.05,0.89,2,3,3.45,1.95,0.41,6.82,2.64,0.2,1.1,0.93,5.12,3.54,2.47,3.39,3.74,0.59,6.29,1.89,2.28,3.18,1.42,2.48,1.59,4.98,0.78,0.98,0.85,1.48,1.62,1.61,1.26,1.92,6.7,,1.58,2.39,2.33,1.26,1.73,2.54,1.2,2.52,0.77,3.89,2.42,1.24,0.13,2.76,0.8,0.71,2.14,1.39,0.87,2.58,2.13,1.27,1.85,3.15,2.02,4.9,3.26,0.91,,,
May,0,,,,,2.9,0.5,6.29,0.95,2.81,3.3,0.55,1.44,0.68,3.57,1.75,3.41,2.29,2,0.12,1.17,1.03,3.12,1.72,1.9,2.53,1.66,3.93,2.25,1.55,2,1.1,3.6,3.67,4,1.2,0.45,3.15,2.67,2.56,1.02,2.28,2.8,1.42,2.31,4.6,3.89,1.21,2.34,1.65,3.09,2.31,3.78,1.62,4.32,0.52,1.02,1.8,,,1.98,2.29,2.62,1.68,2.77,1.57,5.86,5.62,2.07,2.69,1.85,1.21,1.63,3.47,1.51,1.12,3.45,2.17,3.73,1.11,3.68,2.96,1.11,1.89,4.55,3.6,1.98,2.57,,,
June,3.7,,,,,1.81,,2.48,7.32,1.8,0.59,1.8,4.84,2.37,3.68,1.52,2.9,2.71,1.29,2.8,5.68,2.09,4.28,3.42,1.8,0.52,1.4,0.97,0.59,2.76,2,2.17,4.85,1.6,1.15,4.8,3.1,3.65,3.14,5.45,1.39,3.36,4.97,3.07,0.42,0.7,1.41,0.68,2.82,1.09,3.81,0.63,3.81,2.61,2.17,1.87,2.78,5.57,,,2.01,2,1.62,2.28,0.82,0.99,1.19,4.87,1.27,1.52,1.51,1,3.38,1.74,0.44,0.96,3.6,1.02,1.15,1.6,1.02,0.78,1.81,0.84,2.08,0.81,3.32,2.52,,,
July,3.15,,,,3.56,5.61,,2.6,3.2,4.16,2.02,2.86,1.71,3.2,2.48,2.92,1.93,2.46,3.35,2.73,3,2.76,3.92,0.66,2.79,3.17,4,6.12,0.6,1.27,2,5.35,1.65,6,2.4,3.39,1.6,5.15,0.9,6.7,3.71,3.42,4.87,5.43,6.04,0.89,4.43,2.59,6.16,3.36,4.74,2.95,2.09,2.87,3.8,4.57,4.39,1.57,,,4.68,1.03,3.09,5.25,1.27,1.5,1.74,2.28,2.42,3.6,4.62,1.51,2.95,0.68,2.43,3.74,8.14,1.97,4.33,0.71,2.29,1.97,4.62,2.07,5.02,1.67,3.36,2.06,,,
August,4.45,,,,3.36,2.08,3.57,1.2,2.89,3.14,3.25,2.6,3.18,3.93,1.73,3,3.83,1.72,2.25,1.53,3.07,4.67,3.13,4.55,0.7,4,3.13,2.47,5.61,1.59,2,2.68,3,3.53,8.25,2.92,2.97,8.15,7,6.4,0.76,5.12,2.69,4.07,2.68,2.78,1.54,4.95,2.09,7.84,2.97,5.03,5.69,3.85,5.82,4.67,2.04,4.82,,,5.12,4.75,3.1,4.4,5.79,4.79,4.74,3.73,2.08,2.05,7.22,1.43,4.06,1.3,2.75,2.62,4.69,6.23,2.52,2.38,4.09,3.53,2.13,5.46,3.12,2.36,2.44,4.54,,,
September,2.95,,,,2.42,3.26,4.2,0.81,2.25,1.54,2.46,0.7,1.56,1.25,1.13,0.51,8.13,4.15,2.7,2.2,0.95,5.2,2.45,4.18,4.7,0.45,4.05,2.25,5.03,6.4,3.4,2.52,4.85,4.6,3.9,5,5.03,2.39,3.87,2.88,3.9,5.56,3.92,3.24,2.51,3.74,2.93,3.72,0.48,0.53,2.74,5.81,1.67,2.32,0.3,0.96,5.07,1.63,,3.88,3.12,1.59,1.71,3.14,3.33,1.74,1.25,1.31,6.53,1.39,0.82,1.17,1.18,2.86,0.56,1.31,1.39,1.53,4.51,1.39,2.27,1.25,2.67,2.64,4.06,3.44,3.75,5.36,,,
October,2,,,,4,2.67,9.1,6.08,5.71,1.62,1.31,1.6,5,5.68,2.43,2.8,1.55,2.25,3.1,4.36,2.85,3,3.13,2.53,9.9,7.65,2.72,3.17,2.77,3.45,3.74,5.15,4.33,3,3.2,8.57,4.6,4.37,3.23,0.82,1.8,5.02,5.26,2.17,1.9,1.94,4.94,0.81,2.26,3.57,2.41,3.34,5.47,3.04,5.17,1.86,3.35,2.91,,1.2,3.27,2.33,1.57,6.15,1.09,2.25,4.31,5.39,3.98,3.99,1.68,2.07,6.37,2.04,3.31,3.11,4.72,2.85,2.71,1.97,2.88,2.02,1.69,2.84,4.75,2.58,5.19,6.37,,,
