BOLTON W.W. (CRANBERRY MOSS) 2 CHECK GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD709191,Long,-2.441901,Lat,53.667562,Elevation,990,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2887/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,1.61,6.32,7.19,7.57,4.85,6.23,4.24,11.78,3.57,4.72,5.76,4.49,2.55,,,,,,,
February,,,,,,,,,,,5.15,2.12,3.72,2.67,7.49,7.63,1,3.64,3.52,5.7,4.11,2.03,1.46,,,,,,,
March,,,,,,,,,,,3.9,4.1,1.69,0.94,2.01,1.3,6.79,2.52,2.13,3.5,5.56,3.22,3.02,,,,,,,
April,,,,,,,,,,,1.9,2.73,3.28,3.26,2.84,1.52,4.56,2.58,5.13,4.26,3.1,4.41,4.24,,,,,,,
May,,,,,,,,,,,3.57,4.33,3.9,4.26,4.38,1.92,3.11,2.29,4.07,2.7,2.53,3.06,3.2,,,,,,,
June,,,,,,,,,,,0.58,0.8,4.85,4.08,6.24,4.16,3.43,7.63,1.1,2.92,1.6,4.9,3,,,,,,,
July,,,,,,,,,,4.05,2.71,7.27,3.91,4.93,3.78,4.27,3.75,2.91,2.42,5.86,4.38,3.09,7.61,,,,,,,
August,,,,,,,,,,2.45,8.78,7.15,8.47,4.45,3.78,8.86,0.18,6.84,3.19,8.53,5.64,6.33,5.71,,,,,,,
September,,,,,,,,,,4.23,1.57,4.2,5.53,8.26,3.63,9.05,4.62,4.05,2.52,10.13,4.49,6.02,5.85,,,,,,,
October,,,,,,,,,,,5.8,9.15,4.79,7.4,7.58,1.69,1.38,4.02,5.66,4.26,1.1,6.16,2.42,,,,,,,
November,,,,,,,,,,10,3.9,1.79,5,8.41,0.87,9.82,7.59,3.04,8.2,8.4,10.13,3.45,7.68,,,,,,,
December,,,,,,,,,,6.64,3.8,6.71,3.62,5.28,4.59,5.38,4.55,6.02,8.24,3.65,12.28,5.4,2.62,,,,,,,
Total,,,,,,,,,,,43.27,56.67,55.95,61.51,52.04,61.83,45.2,57.32,49.75,64.63,60.68,52.56,49.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Oct/Nov estimated gauge leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_17_pt1-page-114.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_19_pt1-page-190.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_17_pt1-page-228.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
