BOLTON W.W. CRANBERRY MOSS NO 1,,,,,,,,,,,
Grid ref,SD710192,Long,-2.440397,Lat,53.668466,Elevation,975,ft,,,
Station no,2886,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,7.8,5.48,13.5,2.27,6.74
February,,,,,,,6.35,2.45,5.6,1.58,0.56
March,,,,,,,3.32,6.34,3.84,2.1,3.35
April,,,,,,,2.35,3.93,1.54,1.56,3.1
May,,,,,,,3.8,1.56,1.27,3.85,2.8
June,,,,,,,4.05,5.54,8.13,2.2,2.79
July,,,,,,,4.63,4.52,2.95,4.28,7.06
August,,,,,,,4.35,7.63,8.98,6.75,9.27
September,,,,,,,5.5,7.48,1.18,2.4,4.51
October,,,,,,,4.15,5.34,7.15,9.68,8.14
November,,,,,,,8.65,6.35,8.85,11.15,8.36
December,,,,,,,2.43,1.65,3.92,9.75,5.84
Total,,,,73.52,63.87,55.33,57.38,58.27,66.91,57.57,62.52
,,,,,,,,,,,
1923 and 1924 totals not transcribed initially,,,,,,,,,,,
ERROR_TYRain_1920-1930_20_pt1-page-012.csv,,,,,,,,,,,
