HARROGATE-WEST-END-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SE301547,Long,-1.5424443,Lat,53.987478,Elevation,412,ft.,,,,,,,,,,,,
Station no,RR6552,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,5.6,2.27,4.47,1.76,0.83,0.96,3.92,,,,,,,,,
February,,,,,2.63,2.4,0.99,0.66,1.05,1.45,1.08,,,,,,,,,
March,,,,,2.23,2,2.43,1.28,4.59,2.03,2.05,,,,,,,,,
April,,,,,2.39,1.79,2.48,0.71,2.83,3.05,0.88,,,,,,,,,
May,,,,,1.7,2.89,4.25,2.08,0.92,3.01,2.17,,,,,,,,,
June,,,,,0.79,2.96,1.09,0.08,2.51,0.34,2.61,,,,,,,,,
July,,,,,4.21,1.25,3.25,1.61,5.39,1.28,1.68,,,,,,,,,
August,,,,,1.23,1.97,2.23,2.72,2.72,3.51,4.43,,,,,,,,,
September,,,,,1.85,3.84,1.72,3.59,0.63,0.91,2.52,,,,,,,,,
October,,,,,1.65,5.22,4.34,2.22,0.55,4.18,1.21,,,,,,,,,
November,,,,,1.35,3.21,1.89,2.97,5.64,0.69,3.06,,,,,,,,,
December,,,,1.52,3.48,0.93,3.76,1.91,1.7,1.67,0.98,,,,,,,,,
Total,,,,,29.11,30.73,32.9,21.59,29.36,23.08,26.59,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the centre of West Park. Altitudes match.,,,,,,,,,,,,,,,,,,,,
