SETTLE-CAPPLESIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD799592,Long,-2.3083294,Lat,54.028396,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,6.36,6.39,5.92,14.44,2.39,7.34,5.03,6.92,4.5,5.15,2.04,5.8,4.55,9.24,5.86,2.13,1.43,,,,,,,,,
February,,,,,,7.48,5.9,3.03,7.83,1.1,0.5,6.67,0.24,5.36,0.69,9.16,2.48,8.21,3,5.73,2.1,5.2,,,,,,,,,
March,,,,,,1.46,3.25,5.01,4.06,0.82,4.05,0.9,3.59,2.84,3.22,1.72,3.45,1.82,1.81,2.75,4.35,3.13,,,,,,,,,
April,,,,,,4.12,2.21,4.29,1.48,1.69,3.48,3.41,5.21,1.85,2.79,4.14,0.9,3.76,0.92,1.89,3.13,1.41,,,,,,,,,
May,,,,,,4.6,3.65,1.83,0.75,2.65,1.55,2.5,4.63,2.21,4.43,1.64,0.86,2.52,4.12,0.75,1.39,2.57,,,,,,,,,
June,,,,,,0.01,3.08,4.16,7.76,2.06,2.33,6.31,1.57,1.98,3.34,3.82,4.43,2.01,5.28,3.81,0.65,0.45,,,,,,,,,
July,,,,,,2.01,3.86,6.2,2.67,4.78,6.26,4.58,6.34,6.81,2.45,2.21,4.37,2.5,5.8,7.76,4.71,1.59,,,,,,,,,
August,,,,,,4.69,4.45,7.79,7.66,6.25,7.61,4.58,1.57,1.71,5.97,1.96,2.79,2.46,5.37,3.35,1.78,7.56,,,,,,,,,
September,,,,,,3.24,5.38,7.09,1.31,2.24,2.9,2.09,6.56,1.79,4.77,10.91,4.8,2.58,1.95,1.32,5.78,0.85,,,,,,,,,
October,,,,,,6.68,4.99,6.72,6.31,7.19,8.02,2.63,7.52,3.73,7.24,11.1,5.66,2.43,15.5,2.65,5.58,,,,,,,,,,
November,,,,,,2.91,8.96,5.17,9.48,8.9,6.67,9.43,4.89,2.37,1.29,5.88,6.16,1.65,7.78,8.73,7.03,,,,,,,,,,
December,,,,,,5.06,2.05,1.64,4.1,11.79,5.24,4.32,3.2,0.82,7.92,4.54,7.22,2.83,5.59,3.83,5.05,,,,,,,,,,
Total,,,,,,48.62,54.17,58.85,67.85,51.86,55.95,52.45,52.24,35.97,49.26,59.12,48.92,37.32,66.36,48.43,43.68,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Cappelside. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that gauge buried in snowdrift Jan 25 to 29; reading left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
