MARKET-HARBOROUGH-THE-HUTCH (FAIR LAWN),,,,,,,,,,,,,,,,,,,,
Grid ref,SP727878,Long,-0.93089102,Lat,52.483288,Elevation,324,ft,,,,,,,,,,,,
Station no,RR6629,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.58,0.81,1.89,1.66,1.08,,,,,,,
February,,,,,,,,,1.66,1.89,0.89,0.07,1.54,,,,,,,
March,,,,,,,,,2.33,2.2,2.09,1.17,0.76,,,,,,,
April,,,,,,,,,1.89,2.79,0.97,1.46,0.84,,,,,,,
May,,,,,,,,,0.91,4.09,1.71,2.8,1.49,,,,,,,
June,,,,,,,,,1.32,0.7,1.43,2.39,1.76,,,,,,,
July,,,,,,,,,4.63,1.77,1.87,2.94,1.68,,,,,,,
August,,,,,,,,,2.54,2.09,2.23,3.47,1.47,,,,,,,
September,,,,,,,,,1.07,2.43,0.95,0.88,2.2,,,,,,,
October,,,,,,,,,0.37,2.98,1.62,5.28,3.98,,,,,,,
November,,,,,,,,,2.66,0.81,3.05,3.16,1.26,,,,,,,
December,,,,,,,,,1.61,1.56,0.63,3.34,1.34,,,,,,,
Total,,,,,,,,,21.57,24.12,19.33,28.62,19.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1888 Gauge moved,,,,,,,,,,,,,,,,,,,,
