EASTLEIGH FAIR OAK PARK,,,,,,,,,,,,
Grid ref,SU502189,Long,-1.286482,Lat,50.967340,,,,,,,
Station no,RR7954,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.97,0.99,1.85,1.01,,
February,,,,,,,3.20,1.75,1.31,0.35,,
March,,,,,,,1.60,0.76,3.58,3.76,,
April,,,,,,,1.05,4.13,2.85,1.28,,
May,,,,,,,2.25,2.09,2.05,1.30,,
June,,,,,,,1.40,1.77,0.93,5.14,,
July,,,,,,,0.61,1.34,2.06,3.08,,
August,,,,,,,1.04,2.09,4.68,2.61,,
September,,,,,,,0.95,0.41,2.08,3.16,,
October,,,,,,,6.68,8.76,1.47,8.46,,
November,,,,,,,4.15,2.78,1.45,0.66,,
December,,,,,,,2.10,4.13,3.64,4.25,,
Total,,,,,,,32.00,31.00,27.95,35.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.00,31.00,27.95,35.06,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
