EASTLEIGH-FAIR-OAK-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU502189,Long,-1.286482,Lat,50.96734,Elevation,180,ft,,,,,,,,,,,,
Station no,RR7954,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.97,0.99,1.85,1.01,3.17,1.31,3.68,5.82,0.64,4,,,,
February,,,,,,,3.2,1.75,1.31,0.35,3.98,1.54,2.71,1.09,4.83,5.48,,,,
March,,,,,,,1.6,0.76,3.58,3.76,1.11,2.19,3.9,3.48,4.71,1.07,,,,
April,,,,,,,1.05,4.13,2.85,1.28,2.5,2.07,0,2.99,1.52,1.33,,,,
May,,,,,,,2.25,2.09,2.05,1.3,1.87,1.86,1.18,2.84,1.46,3.6,,,,
June,,,,,,,1.4,1.77,0.93,5.14,2.81,1.85,4.69,0.54,0.34,1.92,,,,
July,,,,,,,0.61,1.34,2.06,3.08,2.31,0.02,2.57,1.51,3.01,5.02,,,,
August,,,,,,,1.04,2.09,4.68,2.61,2.33,0.46,6.29,1.91,2.8,2.24,,,,
September,,,,,,,0.95,0.41,2.08,3.16,0.14,1.21,1.59,2.95,1.48,3.78,,,,
October,,,,,,,6.68,8.76,1.47,8.46,4.03,4.14,4.49,4.57,2.51,4.7,,,,
November,,,,,,,4.15,2.78,1.45,0.66,3.69,4.26,1.88,3.41,3.85,3.21,,,,
December,,,,,,,2.1,4.13,3.64,4.25,4.87,8.41,4.24,2.08,10.68,8.69,,,,
Total,,,,,,,32,31,27.95,35.06,32.81,29.32,37.22,33.19,37.83,45.04,,,,
