BURNSALL SANDBED BECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE019614,Long,-1.972473,Lat,54.048561,Elevation,676,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,2.26,6.83,6.17,1.18,0.4,0.75,3.75,6.57,6.72,2.83,4.62,2.3,1.5,2.04,4.31,2.53,2.91,1.29,5.12,4.15,2.85,2.78,4.1,6.85,5.97,2.96,2.78,4.08,3.72,1.87,5.58,2.17,4.36,2.13,6.48,2.06,5.07,4.46,3.18,5.74,4.43,3.72,3.45,4.88,4.93,7.17,3.61,4.12,3.36,4.84,4.97,5.41,11.74,1.91,8.04,3.84,5.41,2.73,4.05,2.16,4.51,4.77,8.31,6.61,1.86,4.4,4.68,6.23,5.94,4.5,5.21,5.16,8.87,2.26,2.99,3.83,4.64,1.49,3.75,2.37,4.97,5.25,4.64,3.91,5.05,,,,,,,,
February,,,,,,,5.05,3.85,1.87,3.17,4,6,3.65,2.9,3.16,2.57,1.5,1.82,1,2.1,0.68,0.48,2.49,6.58,8.5,1.03,1.73,3.13,4.14,2.6,5.1,2,1.92,4.39,3.6,2.13,3.09,2.45,3.3,3.12,4.87,5.67,2.55,2,3.15,4.85,5.2,1.02,6.48,1.6,4.08,0.35,5.3,5.81,1.03,6.67,5.08,2.06,6.53,0.96,0.79,6.05,0.26,4.74,0.24,7.49,2.35,6.54,2.59,4.13,2.43,4.28,2.44,3.37,2.35,6.44,4.34,5.32,3.87,3.15,8,3.92,1.17,4.71,3.55,2.76,1.79,3.85,7.81,1.18,3.49,,,,,,,,
March,,,,,,,6.17,4.34,2.58,2.83,3.69,5.25,5.15,0.93,2.9,,4.37,1.31,3.39,3.12,4.46,2.13,1.07,1.41,4.54,3.39,6,6.27,2.1,2.34,1.06,3.47,2.91,5.63,2.39,3.72,3.04,4.27,4.77,4.15,1.06,2.84,5.72,5.86,5.16,1.67,3.37,2.37,1.85,4.78,3.67,3.34,3.18,2.75,1.58,1.17,2.37,4.15,4.02,0.55,2.61,0.58,3.47,2.64,3.03,1.9,2.79,2.93,2.76,2.5,3.19,4.55,3.32,1.81,0.32,1.51,1.31,7.66,2.27,2.01,1.99,3.77,1.87,1.13,2.97,2.35,2.26,4.69,2.02,2.44,2.14,,,,,,,,
April,,,,,,,1.46,3.63,2.39,2.28,2.28,1.54,4.7,3,1.25,,3.43,1.85,3.15,3.06,1.29,1.89,2.1,0.69,2.39,2.43,2.43,2.73,3.16,3.57,2.87,2.77,1.84,2.13,3.72,3.38,1.28,2.78,2.87,4.27,2.6,2.03,1.07,4.13,1.22,1.64,2.48,2.23,1.17,2.37,4.72,1.09,2.48,3.34,2.31,4.18,1.62,4.55,1.03,1.83,1.85,3.73,5.03,2.19,3.3,4.33,1.23,3.53,1.01,1.79,2.61,2.22,2.1,2.46,3.35,3.47,1.51,4.76,2.87,3.2,4.48,1.77,2.31,3.52,1.03,1.97,1.58,0.37,1.17,3.36,2.58,,,,,,,,
May,,,,,,,0.86,2.6,6.75,1.72,2.56,4.16,1.83,1.05,2.35,,3.8,2.39,1.35,2.52,2.47,2.26,4.62,2.87,2.19,0.6,0.5,2.03,2.74,4.38,1.68,1.44,2.91,3.19,3.77,0.61,5.28,3.91,3.14,2.84,2.3,1.17,2.37,3.5,2.42,1.6,2.53,2,1.97,1.72,4.46,2.15,0.87,3.32,6.61,5.61,3.94,1.87,1.08,2.77,1.47,2.89,4.03,2.45,3.42,1.21,1.06,2.86,3.42,0.73,1.48,1.53,3.44,3.49,2.41,3.27,2.41,3.05,1.83,3.31,2.24,2.35,1.28,2.15,3.38,4.21,1.91,1.51,5.61,0.7,1.74,,,,,,,,
June,,,,,,,2.6,2.07,3.73,5.93,5.35,2.9,4.3,2.78,0.38,2.88,1.4,0.09,2.62,0.43,4.56,1.28,4.56,3.68,2.64,1.87,3.32,3.78,3.12,1.96,4.03,1.24,1.69,2.03,2.23,2.39,1.84,6.97,4.98,2.87,2.57,2.85,7.08,2.37,2.8,1.07,2.68,2.48,1.53,1.21,2.47,0.21,2.58,1.04,2.19,0.11,3.53,3.51,6.11,1.93,2.17,7.18,1.78,3.72,2.33,3.97,4.34,2.92,4.39,3.98,0.47,0.68,0.78,4.31,3.23,4.67,3.32,3.04,4.71,0.68,3.39,1.14,2.61,3.26,3.93,3.73,2.86,1.52,4.77,1.89,1.13,,,,,,,,
July,,,,,,,2.17,7.58,1.34,4.81,5.38,4.67,3.5,3.6,5.81,1.6,3.8,2.12,5.82,3.45,3.81,4.07,2.97,3.54,3.95,5.24,2.86,2.1,1.17,2.45,2.98,2.07,3.67,4.73,1.85,1.37,1.98,2.72,4.92,5.68,3.37,0.86,5.15,1.06,2.97,4.65,2.75,1.94,4.85,3.27,6.71,2.74,4.31,4.21,5.13,1.84,4.12,6.18,2.01,3.2,4.38,4.33,5.95,3.28,2.35,2.19,5.77,2.71,4.49,6.83,4.47,1.76,4.47,2.93,3.82,3.14,4.51,2.93,1.21,2.89,4,2.03,2.06,5.97,5.32,1.41,5.14,4.85,3.25,2.95,8.21,,,,,,,,
August,,,,,,,3.28,6,7.5,6.44,1.52,6.4,3.56,3.5,2.62,1.43,1.95,2.2,5.14,7.43,6.25,6.83,6.69,4.71,3.95,4.18,2.24,5.55,5.17,2.37,6.05,3.66,2.37,4.73,4.02,4.54,4.64,4.09,4.11,3.58,5.98,2.78,5.7,1.97,3,3.13,3.72,7.17,4.98,3.52,3.17,5.86,3.14,6.2,5.56,4.95,4.53,7.43,7.38,4.9,5.69,4.37,1.39,1.39,3.64,2.27,2.72,1.7,4.43,1.53,2.19,6.22,4.51,6.35,2.54,3.84,8.45,0.33,4.11,3.29,7.14,4.27,6.59,5.72,8.55,1.14,9.7,6.53,3.8,0.59,4.16,,,,,,,,
September,,,,,,,4.62,3.07,4.53,2.25,4.4,2.9,3,5.4,2.66,3.95,3.36,6.45,1.37,1.95,2.47,2.74,3.59,4.07,0.78,1.97,5.27,4.73,1.08,5.9,1.71,2.45,1.79,4.23,1.67,3.69,1.08,0.93,4.67,3.42,0.35,4.08,2.17,1.67,2.65,0.98,2.48,2.26,10.19,1.78,1.57,2.74,4.39,5.62,5.2,3.35,3.44,6.03,0.79,1.91,3.96,3.06,6.11,1.91,3.52,8.33,3.4,1.96,1.42,1.36,5.6,0.89,2.68,4.65,7.13,3.43,7.65,2.25,2.97,0.78,6.46,2.72,4.17,4.24,5.98,2.73,4.88,6.85,5.19,0.29,2.66,,,,,,,,
October,,,,,,,3.26,7.4,4.42,2.3,5.15,,4.51,1.6,3.02,5.5,5.9,2.6,1.33,3.39,2.69,4.26,7.37,5.32,5.61,5.37,4.38,2.4,6.35,3.15,6.17,2.79,3.98,10.17,1.6,2.98,6.76,6.37,2.53,4.7,4.18,3.84,4.28,1.93,2.62,1.16,9.48,5.75,3.4,3.48,2.69,3.72,0.72,7.16,4.66,5.43,4.8,5.23,5.79,6.42,6.02,2.45,7.02,3.67,5.87,8.09,4.05,2.14,11.63,2.66,4.11,6.27,4.71,3.24,4.54,7.11,1.94,1.09,2.78,5.85,3.47,1.08,4.51,2.27,8.7,2.71,2.61,6.44,4.06,4.47,3.36,,,,,,,,
