MOSELEY (COTTON LANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP081826,Long,-1.882266,Lat,52.44131,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2473/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.38,2.24,3.23,0.87,3.68,3.87,3.06,5.81,3.35,3.99,3.83,5.36,2.94,2.22,2.27,2.46,4.78,1.55,0.71,3.28,2.8,1.09,,,,,,,
February,,0.29,3.61,0.35,2.75,3.08,4.38,0.87,1.42,2.62,2.82,1.01,1.97,1.67,2.5,2.25,2.12,1.65,0.88,4.79,3.28,0.65,1.39,,,,,,,
March,,1.66,2.99,2.13,0.61,2.4,3.45,0.39,1.69,1.88,2.54,2.1,1.11,0.39,0.97,1.03,6.14,1.33,1.66,1.37,5.18,3.96,,,,,,,,
April,,3.45,0.91,2.01,3.42,1.99,3.11,0.13,1.97,4.22,1.56,1.49,0.66,1.89,0.91,2.94,2.52,1.5,2.42,2.26,2.69,3.95,,,,,,,,
May,,6.58,2.2,1.14,1.47,1.22,2.34,1.67,1.28,2.4,3.08,3.45,3.88,0.8,2.65,2.69,2.41,2.93,2.68,1.63,3.89,2.69,,,,,,,,
June,,1.35,2.56,1.35,2.74,3.98,0.8,1.98,1.68,0.66,1.38,0.07,1.6,1.64,3.01,2.41,2.33,3.62,0.4,2,1.38,1.56,,,,,,,,
July,,3.04,2.52,1.09,0.53,6.94,2.79,3.51,4.24,2.99,3.75,2.09,0.88,2.4,2.43,1.56,2.77,1.68,2.27,2.93,1.01,1.3,,,,,,,,
August,5.1,2.28,0.73,2.21,1.97,0.99,1.41,3.55,2.38,0.14,4.33,2.82,1.81,2.04,2.08,6.05,0.74,4.35,1.67,3.7,4.29,3.79,,,,,,,,
September,2.74,3.33,0.69,2.25,3.86,3.33,1.86,2.17,0.92,1.06,0.97,1.24,1.64,3.52,1.39,3.91,1.38,3.22,1.55,4.5,1.82,1.87,,,,,,,,
October,0.84,3.72,3.96,1.54,3.45,1.79,2.79,2.79,3.34,4.39,2.69,2.74,2.25,3.08,4.06,0.5,0.52,2.9,5.84,0.74,0.73,4.9,,,,,,,,
November,3.86,1.94,0.95,2.28,5.91,2.75,1.72,3.46,4.47,6.84,3.18,1.45,1.76,5,0.51,6.56,1.82,1.64,3.46,4.33,7.3,2.37,,,,,,,,
December,1.01,1.05,0.52,4.8,3.96,2.74,2.43,4.41,1.86,1.9,1.72,3.14,1.16,1.89,3.73,2.92,2.32,5.03,1.38,1.75,2.63,2.85,,,,,,,,
Total,,31.07,23.88,24.38,31.54,34.89,30.95,27.99,31.06,32.45,32.01,25.43,24.08,27.26,26.46,35.09,27.53,34.63,25.76,30.71,37.48,32.69,,,,,,,,
