IDSWORTH-WATER-TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU729114,Long,-0.96426,Lat,50.89811,Elevation,202,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,690/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.67,3.57,2.2,2.32,0.89,5.85,6.75,4.68,4.25,3.42,3.48,4.04,6.75,2.45,2.05,3.1,3.77,6.35,1.05,1.18,3.83,2.5,1.32,2,3.62,5.35,2.84,5.07,3.88,4.59
February,2.22,0.67,3.89,0.03,3.78,2.8,5.97,0.6,2.32,4.72,3.75,0.82,1.53,0.9,2.39,3.37,2.29,1.38,1.25,5.72,5.94,0.72,1.38,3.62,1.99,0.17,5.25,2.88,0.15,3.24
March,1.02,1.48,3.45,3.08,0.7,2.7,3.75,0.61,1.28,3.6,3.72,3.2,0.75,0.18,1.05,1.15,7.39,0.92,1.78,2.07,5.38,3.26,0.47,3.84,1.38,0.43,2.22,1.74,2.87,1.94
April,3.06,3.04,1.4,2.34,3.67,2.1,3.25,0,2.63,0.94,1.9,1.6,1.12,1.65,0.97,2.38,2.35,1.78,2.08,3.15,2.89,2.03,1.88,0.32,0.5,1.98,0.23,0.85,2.65,0.98
May,2.65,4.26,2.67,0.81,0.92,0.29,2.49,2.44,1.37,0.57,2.7,3.3,,1.12,2.57,4.2,1.29,2.85,2.35,1.15,2.38,2.88,2.82,2.83,4.23,0.31,1,3.13,0.33,1.27
June,1.66,1.62,2.17,1.71,3.5,2.73,1.26,0.73,1.79,0.17,1.21,0.25,1.57,2.14,2.65,4.38,2.24,2.6,0.86,1.75,2.08,1.59,2.6,3.31,3.2,2.44,1.62,3.29,1.2,3.08
July,3.43,3.88,2.33,0.92,1.31,4.65,1.8,2.32,3.05,4.7,3.98,1.7,2.6,2.75,3.47,2.05,1.39,1.38,0.21,3.98,2.54,0.32,4.19,3.89,0.89,2.58,4.45,1.84,2.04,5.04
August,4.36,0.82,0.84,2.68,3.38,1.58,1.85,1.82,2.38,0,4.5,4.12,1.75,2.25,2.38,6.61,0.49,5.6,1.36,3.8,6.75,3.1,2.17,2.87,2.1,3.49,3.12,4.9,5.27,5.19
September,2.09,3.2,2.86,2.67,4.6,3.05,2.5,2.03,0.91,1.52,0.27,2.8,2.54,2.2,2.1,4.1,1.59,2.8,3.2,3.61,3.17,3.49,2.75,,2.28,4,3.19,3.98,0.11,5.97
October,0.63,6.88,2.11,2.38,4.83,1.25,3.33,4.35,5.95,4.82,1.44,3.95,3.45,4.77,4.34,0.8,1.05,2.32,8.16,0.53,1.6,4.77,4.14,2.68,3.54,1.63,2.28,2.65,3.3,8.99
November,4.1,1.79,0.82,3.56,7.82,5.23,2.31,4.91,7.05,8.58,3.49,1.5,2.7,6.25,0.5,5.3,1.71,1.13,4.15,7.2,9.23,4.51,1.46,6.25,2.47,0.8,3.08,2.92,4.35,6.94
December,0.88,1.17,0.74,10.15,5.2,2.96,4.64,2.9,2.63,2.81,2.16,4.47,2.6,2.95,4.7,3.82,3.34,4.7,2.73,2.38,3.28,3.34,0.85,3.55,4.65,6.53,2.95,4.35,8.72,4.53
Total,28.77,32.38,25.48,32.65,40.6,35.19,39.9,27.39,35.61,35.85,32.6,31.75,,29.61,29.17,41.26,28.9,33.81,29.18,36.52,49.07,32.51,26.03,,30.85,29.71,32.23,37.6,34.87,51.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge marked on 1932 OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan 1st New gauge installed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 May Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Sept Part estimated Possible interference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Feb Inspection OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as IDSWORTH: WOODHOUSE ASHES SRC_ID 7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
