"DISS (BRESSINGHAM HALL)",,,,,,,,,,,,
Grid ref,TM079805,Long,1.053373,Lat,52.383050,,,,,,,
Station no,1398/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.41,2.75,1.11,1.71,1.93,3.74,1.73,2.50,3.00,3.32,,
February,3.09,1.08,1.48,1.99,2.19,1.37,2.23,3.49,0.27,1.52,,
March,3.56,2.90,0.68,2.28,1.72,0.90,1.97,1.18,1.40,1.26,,
April,3.99,1.14,3.00,0.28,0.45,1.14,0.47,1.47,1.73,1.22,,
May,2.40,1.35,1.78,1.78,2.19,0.63,1.34,2.26,0.32,0.46,,
June,0.86,1.71,2.30,1.59,2.74,1.70,2.51,3.89,0.87,2.13,,
July,2.35,1.30,3.19,2.10,0.15,2.80,2.74,2.71,1.64,3.18,,
August,3.63,2.68,2.19,4.90,1.47,4.49,2.49,3.56,1.85,3.07,,
September,2.57,2.70,1.49,1.93,1.91,1.77,3.93,2.40,0.00,4.00,,
October,0.69,2.70,2.38,2.16,4.01,2.19,1.68,2.23,2.01,4.75,,
November,3.73,5.47,1.38,3.94,0.67,1.08,2.19,1.28,2.16,3.20,,
December,1.63,2.84,0.95,2.11,1.67,2.03,2.79,2.80,3.05,3.24,,
Total,30.91,28.62,21.93,26.77,21.10,23.84,26.07,29.77,18.30,31.35,,
Calc annual,30.91,28.62,21.93,26.77,21.10,23.84,26.07,29.77,18.30,31.35,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
