LONGFORMACUS RAWBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT673561,Long,-2.522,Lat,55.7976,Elevation,920,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3,2,1.3,2,1,3.7,1.5,2.2,2,3.3,2.2,1.2,1.7,0.8,4,4.8,2.5,,,,,,,,
February,,,,,,2.8,1.5,0.7,2,2.1,1.2,0.2,2.3,3.8,6.4,2,1.5,2,2.3,2,3.7,1.9,,,,,,,,
March,,,,,,2.3,4,2,1.5,2.5,2.2,3.9,1.3,0.5,1.7,4.2,2.2,4.8,1.4,2.5,1.4,2,,,,,,,,
April,,,,,,3.7,1.6,1.6,3.2,5,1.1,1.9,1.2,1,1.5,1.2,1.4,1.8,3.7,2.6,2.7,2.1,,,,,,,,
May,,,,,,3.9,3.7,2.2,1.5,2.2,1.7,1.7,3.5,2.1,4.6,1.1,1,1.1,1.11,4,1.4,2.3,,,,,,,,
June,,,,,,2,1.3,0.2,2.1,0.7,3.6,0.9,3,3.1,2.3,2.3,2.3,3.1,2,1,4.5,2.2,,,,,,,,
July,,,,,,1.6,4,2.4,4.8,3,2.5,5,2.7,3,2.9,5.5,3.7,1.8,1,2.7,3.5,1.4,,,,,,,,
August,,,,,,2.1,2,2.1,2.6,7.8,4.6,6.5,4.1,2.3,3.9,3,2.3,3.9,3.1,0.4,5.3,4.5,,,,,,,,
September,,,,,,4,2.5,4.5,1,1.2,1.6,6.6,1.9,1.2,1.4,0.5,4.2,2.3,2.2,4.3,2.3,1.9,,,,,,,,
October,,,,,,4.6,4.8,1.8,1.3,5.6,2.8,2.5,5.6,1.8,4.6,5.9,5.7,1.6,6.7,1.9,4.9,2.1,,,,,,,,
November,,,,,,2.3,3.6,4.4,7.8,0.6,4.5,2.8,1.7,2.5,1.7,3,1.7,2.6,4.5,3,4.7,3.4,,,,,,,,
December,,,,,,1.2,3,2.1,2,1.8,2.8,5,1.5,2.7,2,2.7,5.9,3.3,2.8,3.5,4.1,5.3,,,,,,,,
Total,,,,,,33.5,34,25.3,31.8,33.5,32.3,38.5,31,26,36.3,33.6,33.1,30,31.61,31.9,43.3,31.6,,,,,,,,
