SWAFIELD-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG291326,Long,1.4003827,Lat,52.842151,Elevation,100,ft,,,,,,,,,,,,,
Station no,1439,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.87,2.14,1.32,3.23,1.93,3.21,1.84,1.54,2.45,0.87,0.58,1.24,,,,,,
February,,,,2.84,1.82,1.96,2.03,1.93,1.51,0.57,0.96,2.43,0.66,1.88,0.6,,,,,,
March,,,,1.65,0.78,1.69,0.22,2.1,1.4,0.07,1.32,0.65,1.91,1.98,1.43,,,,,,
April,,,,0.91,1.39,1.97,2.67,1.57,1.57,0.9,1.55,2.79,2.18,1.07,2.19,,,,,,
May,,,0.39,1.5,3.29,1.96,1.18,0.78,1.62,1.2,2.6,4.74,3.83,1.96,1.86,,,,,,
June,,,1.31,0.9,1.34,0.77,3.44,4.49,2.09,0.98,0.59,1.45,0.45,2,,,,,,,
July,,,5.3,2.35,1.82,1.82,1.53,2.65,1.76,3.12,4.98,2.39,3.64,1.11,,,,,,,
August,,,1.26,2.2,2.06,2.93,2.07,2.49,1.49,1.3,3.37,3.03,0.99,0.7,,,,,,,
September,,,2.56,1.76,3,3.58,1.28,4.36,0.8,0.82,5.94,1.93,2.35,2.41,,,,,,,
October,,,1.42,3.2,4.25,1.8,3.19,2.52,2.68,3.72,1.14,1.13,4.47,3.13,,,,,,,
November,,,1.63,4.29,1.73,4.62,3.01,4.03,2.41,3.33,3.97,1.71,1.51,2.24,,,,,,,
December,,,1.95,3.83,2.48,3.04,1.24,1.81,2.55,4.12,1.99,1.6,0.55,0.71,,,,,,,
Total,,,,27.3,26.1,27.46,25.09,30.66,23.09,21.97,29.95,26.3,23.41,19.77,,,,,,,
