NETHY BRIDGE (AULTMORE),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 01503 21652,Long,-3.635159,Lat,57.274859,Elevation,800,ft,,,,,,,,,,,,
Station no,5693/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.51,3.42,4.52,3.76,4.8,0.84,2.66,3.9,1.66,3.07,,,,,,
February,,,,,3.61,1.31,2.76,1.55,1.41,0.87,4.86,2.27,1.84,2.75,,,,,,
March,,,,,1.29,1.11,3.97,0.88,2.16,2.29,1.62,0.82,1.19,1.56,,,,,,
April,,,,,2.8,1.68,0.5,0.61,1.35,1.16,1.59,1.76,1.35,1.54,,,,,,
May,,,,3.16,1.69,1.39,1.3,3.73,0.98,1.34,2.39,1.23,4.16,2.44,,,,,,
June,,,,1.7,3.36,1.81,1.44,3.94,1.96,1.31,0.43,1.32,1.6,2.96,,,,,,
July,,,,3.95,1.28,4.64,3.77,4.45,4.8,9.04,2.92,2.81,1.67,1.77,,,,,,
August,,,,3.53,3.39,2.08,2.35,1.73,1.88,3.16,5.94,2.72,4.9,1.16,,,,,,
September,,,,1.24,4.23,2.24,0.69,3.87,2.58,1.28,1.22,2.58,2.18,3.87,,,,,,
October,,,,4.5,6.29,2.56,2.05,4.16,3.3,2.57,4.13,5.52,2.51,3.76,,,,,,
November,,,,1.82,3.01,2.16,0.66,3.42,2.68,4.86,2.74,1.66,3.82,4.66,,,,,,
December,,,,2.68,1.64,3.52,2.44,1.62,2.71,3.58,2.91,1.43,0.89,,,,,,,
Total,,,,,35.1,27.92,26.45,33.72,30.61,32.3,33.41,28.02,27.77,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5693/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
