BRAEMAR GELDIE COTTAGE NO. 2,,,,,,,,,,,,
Grid ref,NO013878,Long,-3.625145,Lat,56.970842,,,,,,,
Station no,RR8565,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.24,6.10,4.08,2.08,4.31,1.77,2.68,4.32,,
February,,,0.94,6.30,2.90,2.49,3.09,3.16,3.57,0.99,,
March,,,2.41,8.19,1.53,4.98,2.77,2.31,5.71,9.91,,
April,,,2.61,2.30,4.11,2.60,1.23,3.52,2.09,3.88,,
May,,,3.01,1.18,2.59,1.96,5.37,3.11,1.59,3.21,,
June,,,1.33,1.69,1.93,2.68,1.14,4.01,2.05,1.06,,
July,,,2.36,3.49,2.57,2.84,2.14,1.95,2.80,2.97,,
August,,,2.86,4.18,4.62,4.02,4.09,4.70,2.41,1.73,,
September,,,1.95,3.14,2.69,2.27,1.54,1.17,5.20,1.56,,
October,,,4.35,6.94,1.78,3.80,5.31,3.75,1.30,7.31,,
November,,,4.22,3.04,1.68,5.11,5.75,2.92,3.69,1.93,,
December,,,5.54,2.62,3.22,2.68,2.85,2.38,3.16,2.45,,
Total,,,33.82,49.17,33.70,37.51,39.59,34.75,36.25,41.32,,
Calc annual,0.00,0.00,33.82,49.17,33.70,37.51,39.59,34.75,36.25,41.32,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
