BRAEMAR GELDIE COTTAGE NO. 2,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 00491 86737,Long,-3.638022,Lat,56.961124,Elevation,1425,ft,,,,,,,,,,,,
Station no,RR8565,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.24,6.1,4.08,2.08,4.31,1.77,2.68,4.32,4.59,,,,,,,,,
February,,,0.94,6.3,2.9,2.49,3.09,3.16,3.57,0.99,4.75,,,,,,,,,
March,,,2.41,8.19,1.53,4.98,2.77,2.31,5.71,9.91,3.85,,,,,,,,,
April,,,2.61,2.3,4.11,2.6,1.23,3.52,2.09,3.88,5.26,,,,,,,,,
May,,,3.01,1.18,2.59,1.96,5.37,3.11,1.59,3.21,1.34,,,,,,,,,
June,,,1.33,1.69,1.93,2.68,1.14,4.01,2.05,1.06,2.51,,,,,,,,,
July,,,2.36,3.49,2.57,2.84,2.14,1.95,2.8,2.97,3.95,,,,,,,,,
August,,,2.86,4.18,4.62,4.02,4.09,4.7,2.41,1.73,5.41,,,,,,,,,
September,,,1.95,3.14,2.69,2.27,1.54,1.17,5.2,1.56,0.95,,,,,,,,,
October,,,4.35,6.94,1.78,3.8,5.31,3.75,1.3,7.31,3.5,,,,,,,,,
November,,,4.22,3.04,1.68,5.11,5.75,2.92,3.69,1.93,3.76,,,,,,,,,
December,,,5.54,2.62,3.22,2.68,2.85,2.38,3.16,2.45,4,,,,,,,,,
Total,,,33.82,49.17,33.7,37.51,39.59,34.75,36.25,41.32,43.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1902-06 NP as not rec'd until 08,,,,,,,,,,,,,,,,,,,,
1904 Ja Feb May Dec Estd,,,,,,,,,,,,,,,,,,,,
1905 Fe Mar Jun Estd,,,,,,,,,,,,,,,,,,,,
1906 Fe Mar Estd,,,,,,,,,,,,,,,,,,,,
BR 1907 P,,,,,,,,,,,,,,,,,,,,
BR 1908 P (Italics) Jan Feb Estd,,,,,,,,,,,,,,,,,,,,
BR 1909 P,,,,,,,,,,,,,,,,,,,,
BR 1910 (Italics) Ja Mar Apr Dec Estd,,,,,,,,,,,,,,,,,,,,
Aberdeen WW Scheme 1908,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8565,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
