SHIFNAL-RYTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ760027,Long,-2.3559517,Lat,52.621529,Elevation,225,ft.,,,,,,,,,,,,
Station no,2294/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.21,5.38,,3,2.75,4.54,2.24,1.41,2.2,,4,2.98,
February,,,,,,,,0.64,0.54,2.18,2.53,0.8,1.75,1.13,2.03,2.29,,,0.59,
March,,,,,,,,0.36,1.71,1.54,1.9,1.69,0.8,0.94,1.1,0.88,5.33,1.09,1.15,
April,,,,,,,,0.08,1.62,3.31,1.12,1.05,1.09,1.32,0.82,0.88,1.45,2.03,1.78,
May,,,,,,,,1.16,1.36,2.32,2.83,3.52,2.33,0.8,3.15,1.67,2.13,1.44,1.49,
June,,,,,,,,1.68,1.87,0.88,1.81,1.17,1.64,1.16,1.09,,1.02,,0.66,
July,,,,,,,,2.47,6.15,2.37,2.62,1.71,1.75,2.7,2.15,1.65,5.47,1.47,1.92,
August,,,,,,,,4.33,1.88,0.2,2.6,1.74,1.73,3.15,3.6,4.82,0.84,,0.86,
September,,,,,,,,1.36,0.21,0.74,0.81,1.58,2.15,3.71,1.35,3.66,0.92,2.33,1.42,
October,,,,,,,,2.74,3.4,3.76,2.86,2.11,1.67,2.74,4.08,,0.5,2.65,,
November,,,,,,,,3.32,4.77,6.44,3.03,0.82,1.99,3.43,0.35,,1.61,1.49,,
December,,,,,,,,2.31,1.68,1.46,1.16,3.06,1.09,1.57,2.47,,2.22,,,
Total,,,,,,,,23.66,30.57,,26.27,22,22.53,24.89,23.6,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Ryton Rectory. Altitudes match,,,,,,,,,,,,,,,,,,,,
"The 1940s records has an NGR of SJ765028, which is queried by the inspector(?). The quoted altitudes, 270 ft.,are much higher than those for the rectory! ",,,,,,,,,,,,,,,,,,,,
In 1913 Ryton Hall was used as a rectory but not sure for how long. The hall was used as a school from 1954 to 1983. The hall is close to the church and rectory and does not fit the NGR etc. on the records.,,,,,,,,,,,,,,,,,,,,
"The CEDA archive uses the grid reference from the records, i.e. 500 yards east of the rectory.",,,,,,,,,,,,,,,,,,,,
Jan 1941 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,
