"CANNICH (FASNAKYLE)",,,,,,,,,,,,
Grid ref,NH314288,Long,-4.801390,Lat,57.318505,,,,,,,
Station no,5713/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.41,4.51,3.38,4.95,2.91,4.05,8.53,4.50,3.12,3.47,,
February,3.74,1.89,2.86,3.13,4.79,2.53,3.82,2.57,1.71,3.23,,
March,2.19,2.95,1.97,2.72,1.23,2.63,2.67,1.76,1.68,1.07,,
April,4.98,1.46,-999.00,2.10,0.96,1.56,1.00,3.03,4.19,4.22,,
May,1.01,1.70,3.34,3.94,2.27,2.93,1.44,4.88,0.97,1.00,,
June,1.53,1.62,2.80,2.29,1.20,1.41,1.93,1.80,2.44,1.93,,
July,2.72,1.61,2.98,1.95,0.45,3.64,5.45,2.34,4.05,1.67,,
August,2.95,4.42,2.74,1.70,0.59,5.99,5.34,2.48,2.04,4.92,,
September,2.07,3.36,2.85,4.07,3.54,3.78,3.67,3.67,0.83,2.12,,
October,1.65,5.88,1.25,7.15,4.96,5.27,4.39,7.17,5.73,2.41,,
November,6.05,3.48,6.02,4.81,0.99,5.30,1.76,0.78,5.54,3.06,,
December,7.98,5.84,5.77,11.22,6.84,7.70,7.46,2.99,5.01,6.44,,
Total,42.28,38.72,38.46,50.03,30.73,46.79,47.46,37.97,37.31,35.54,,
Calc annual,42.28,38.72,35.96,50.03,30.73,46.79,47.46,37.97,37.31,35.54,,
Difference,0.00,0.00,2.50,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
