MINFFORDD-HAFOD-CAEMAEN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH588375,Long,-4.1014502,Lat,52.916309,Elevation,200,ft.,,,,,,,,,,,,,
Station no,4331,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.88,4.58,4.71,3.46,5.24,6.75,9.23,2.6,8.36,6.44,6.98,5.56,4.5,3.12,6.2,5.06,7.45,7.04,4.21
February,,,6.36,7.69,1.62,7.05,5.14,4.09,5.78,2.2,0.59,5.97,0.12,4.55,0.6,6.41,2.61,8.16,2.89,5.24,4.52
March,,,3.66,1.79,1.71,2.45,1.58,4.82,2.72,2.14,3.37,1.66,3.08,3.08,3.5,1.82,3.14,2.12,3.18,2.89,3.85
April,,,2.76,3.7,4.21,3.59,2.48,1.98,2.49,1.41,3.32,5.09,4.2,1.65,3.17,4.97,1.85,4.67,0.64,2.78,3.48
May,,,2.13,3.7,6.97,5.22,4.31,2.47,1.21,3.58,2.99,3.47,5.55,2.18,5.36,1.89,1.87,1.36,2.74,0.57,2.07
June,,,2.51,2.18,3.9,0.16,3.39,6.8,8.41,3.38,2.42,7.01,1.61,3.64,2.92,9.02,5.65,3.29,6.41,3.82,1.39
July,,,5.12,5.7,5.33,2.82,5.38,3.01,4.81,3.49,4.78,4.12,6.98,3.21,1.1,1.7,6.07,3.25,7.01,9.43,2.67
August,,,4.75,6.47,7.66,6.65,4.68,10.52,6.82,6.49,5.65,4.2,1.97,3.51,6.4,3.24,4.09,2.99,2.98,3.93,1.29
September,,,5.47,7.85,7.61,4.96,3.29,6.06,1.69,3.19,4.49,3.15,4.65,1.13,5.52,9.56,5.95,5.03,2.7,1.37,3.89
October,,,1.13,8.84,5.08,6.43,3.87,5.32,8.11,9.1,9.72,4.28,8.53,8.07,8.83,8.96,3.76,4.61,8.79,2.88,5.69
November,,,3.89,7.84,3.46,3.21,8.83,7.52,9.92,12.64,7.33,9.58,4.63,2.49,1.89,6.82,7.46,2.42,7.16,8.82,8.37
December,,,7.26,5.98,9.29,3.86,1.47,2.36,4.53,8.6,9.12,4.67,5.04,2.77,8.37,3.2,7.31,4.4,5.31,4.46,6.66
Total,,,49.92,66.32,61.55,49.86,49.66,61.7,65.72,58.82,62.14,59.64,53.34,41.84,52.16,60.71,55.96,47.36,57.26,53.23,48.09
,,,,,,,,,,,,,,,,,,,,,
"NGR is Hafod Cae Maen. Stated altitude of 100 ft. is too low, value from OS maps used.",,,,,,,,,,,,,,,,,,,,,
