THAME-CHILTERN-GROVE,,,,,,,,,,
Grid ref,SP715054,Long,-0.96583717,Lat,51.74275,Elevation,250,ft,,
Station no,1087/2/5,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.45,1.46,1.16,1.05,4.96,0.94,
February,,,,1.19,1.63,2.18,1.19,0.72,1.03,
March,,,,0.24,0.83,1.13,4.2,0.65,1.43,
April,,,,1.46,1.47,1.18,1.94,1.5,1.53,
May,,,,0.51,2.85,3.67,1.67,3.8,2.55,
June,,,,2.14,2.74,3.25,1.07,2.6,0.41,
July,,,,1.9,2.82,1.5,1.61,1.09,1.37,
August,,,,2.2,1.11,3.23,0.37,2.78,,
September,,,,2.7,2.18,3.84,1.18,2.28,,
October,,,,3.82,3.42,1.05,0.4,2.7,,
November,,,,3.44,0.2,4.14,1.25,1.54,,
December,,,,1.43,3.59,2.02,2.43,2.58,,
Total,,,,22.48,24.3,28.35,18.36,27.2,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1949 Aug Gauge moved,,,,,,,,,,
