CALLALY CASTLE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU052100,Long,-1.919477,Lat,55.383944,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3590/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2,1.65,1.11,1.95,2.06,5.05,3.82,2.75,6.75,2.1,,,,,,,3.27,9.12,1.47,1.15,2.23,1.95,0.81,2.86,2.03,4.29,2.92,2.49,1.9,3.96
February,1.95,0.66,4.59,0.94,1.72,3.67,3.76,0.94,1.86,1.64,,,,,,,3.13,1.73,1.13,3.96,3.86,0.6,1.63,3.17,2.09,3,3.93,3.39,0.28,3
March,1.28,2.75,1.2,5.28,1.75,2.19,4.68,0.79,3.81,2.56,,,,,,,5.27,,0.85,0.7,4.06,1.2,0.12,1.42,2.71,0.87,1.83,4.13,0.71,1.76
April,3.19,2.19,1.38,5.28,3.89,1.89,2.12,0.15,1.17,1.31,,,,,,,4.57,4.31,0.98,2.21,2.49,0.77,2.68,0.58,0.43,1.03,0.27,2.69,1.94,0.73
May,2.24,2.68,2.06,1.32,1.15,1.64,3.34,2.39,1.67,1.54,,,,,,,2.53,5.82,0.92,1.75,3.69,0.87,2.15,3.82,1.69,0.5,1.65,2.52,0.27,2.19
June,4.45,0.77,1.29,2.25,3.5,3.06,1.2,3.17,1.76,0.65,,,,,,,2.36,3.69,1,2.48,1.24,1.09,3.53,1.18,1.71,2.06,1.49,3.14,1.92,0.67
July,2.57,2.55,2.39,1.99,0.83,2.82,2.65,2.87,2.83,9.03,,,,,,,4.86,0.96,1.99,3.3,1.39,1.43,3.05,2.97,1.85,3.06,3.94,3.96,2.56,3.17
August,3.57,1.53,2.04,4.08,3.68,1.41,2.83,2.8,1.7,0.96,,,,,,,0,6.25,2.14,3.23,3.16,3.29,2.5,6.63,0.71,9.16,6.28,2.99,0.3,1.93
September,2.54,2.73,1.99,1.57,3.68,3.65,2.54,1.92,1.44,2.02,,,,,,,1.37,2.04,1.82,3.79,0.95,3.6,2.72,3.73,1.44,3.17,2.65,2.58,0.8,1.52
October,1.16,6.57,4.06,4.59,3.57,1.46,2.78,4.54,6.09,2.54,,,,,,,0.77,2.12,5.8,2.21,0.72,3.29,1.49,4.87,2.33,2.09,1.57,1.81,1.89,6.29
November,3.99,0.91,4.61,4.17,3.97,3.56,1.11,3.4,2.66,3.82,,,,,,,2.71,1.66,3.67,4.96,9.34,3.09,1.74,3.91,1.58,1.05,1.91,0.53,6.27,1.96
December,1.64,1.93,1.67,5.66,2.31,1.44,5.31,4.83,1.64,,,,,,,,2.42,2.55,2.58,1.94,1.73,3.59,1.11,2.49,4.58,3.3,2.3,5.32,4.87,1.33
Total,30.58,26.92,28.39,39.08,32.11,31.84,36.14,30.55,33.38,,,,,,,,33.26,,24.35,31.68,34.86,24.77,23.53,37.63,23.15,33.58,30.74,35.55,23.71,28.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Dec estimated so removed along with total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
