"NESTON HINDERTON",,,,,,,,,,,,
Grid ref,SJ306783,Long,-3.042725,Lat,53.297090,,,,,,,
Station no,RR1081,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,2.04,1.81,2.37,2.15,0.92,4.76,0.97,1.66,,,
February,3.60,1.40,2.11,1.45,3.28,1.11,1.98,1.23,1.68,,,
March,1.11,1.42,1.73,3.58,1.61,2.62,1.83,1.91,,,,
April,1.08,2.18,2.28,1.71,0.73,2.16,0.81,0.97,,,,
May,1.49,1.15,3.75,3.10,2.10,0.72,2.15,2.87,,,,
June,1.97,2.10,1.81,1.34,2.09,2.56,1.21,3.01,,,,
July,1.43,2.57,2.24,4.99,1.74,3.07,1.11,1.75,,,,
August,5.71,3.40,3.44,3.11,4.18,3.88,2.76,2.92,,,,
September,0.62,1.06,0.83,4.07,2.09,1.60,1.23,0.45,,,,
October,4.57,2.97,3.28,7.30,1.27,1.87,4.35,4.01,,,,
November,3.04,3.30,1.67,3.46,1.78,3.25,1.81,2.71,,,,
December,2.66,3.57,2.37,1.56,2.38,0.55,3.01,1.69,,,,
Total,30.75,27.16,27.32,38.04,25.40,24.31,27.01,24.49,,,,
Calc annual,30.75,27.16,27.32,38.04,25.40,24.31,27.01,24.49,3.34,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,,
