NESTON-OBSERVER-WARING,,,,,,,,,,
Grid ref,SJ290775,Long,-3.0665478,Lat,53.289688,Elevation,,ft.,,
Station no,RR1081,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,0.55,1.51,2.15,1.48,1.62,,,,
February,,2,0.26,0.4,1.99,1.45,,,,
March,,2.04,2.44,0.42,3.73,1.32,,,,
April,,2.2,1.99,0.99,2.09,1.03,,,,
May,,0.4,5.46,0.83,3.06,2.99,,,,
June,,,0.87,3.49,2.01,0.35,,,,
July,,,2.08,1.72,1.06,0.85,,,,
August,,,3.04,3.54,2.21,5.35,,,,
September,,,3.12,3.8,4.53,0.3,,,,
October,,,3.29,6.87,2.55,3.95,,,,
November,,,0.97,4.29,3.08,3.75,,,,
December,,,2.01,1.9,3.64,0.8,,,,
Total,,,27.04,30.4,31.43,23.76,,,,
,,,,,,,,,,
"NGR is centre of Neston. Cannot find the observer, Thomas Waring. No altitude on the record. NGR +/- 2km. Or more",,,,,,,,,,
