NESTON-HINDERTON-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ299775,Long,-3.0530492,Lat,53.289808,Elevation,145,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.85,0.94,0.53,2.59,1.3,2.32,1.1,1.35,3.6,1.05,1.4,1.18,3.12,3.27,1.97,1.75,2.38,2.15,1.12,4.34,0.92,1.56,1.72,2.2,,,,,,,,,
February,,,,,,,,0.42,0.65,1.7,0.63,0.12,1.34,2.78,2.54,0.2,0.96,2.04,1.76,1.25,3.6,1.33,2.3,1.43,3.28,1.03,2.03,1.32,1.56,0.68,1.86,,,,,,,,,
March,,,,,,,,0.97,1.82,2.27,1.45,0.86,1.16,0.52,1.49,2.42,3.02,1.85,0.47,1.03,1.05,1.52,1.63,3.6,1.61,2.62,1.93,1.9,3.12,2.34,0.75,,,,,,,,,
April,,,,,,,,0.77,0.8,2.87,1.03,1.8,1.35,0.74,2.23,1.6,1.16,2.05,1.75,2.55,1,2.2,2.3,1.74,0.73,2,0.85,1.01,3.7,2.21,2.48,,,,,,,,,
May,,,,,,,,1.74,0.58,2.31,1.77,2.35,2.39,1.59,1.97,0.42,0.41,1.09,4.1,2.04,1.5,1.11,3.6,2.98,2.1,0.72,2.12,2.79,2.56,1.1,1.81,,,,,,,,,
June,,,,,,,,1.38,1.81,1.08,3.44,4.68,3.22,1.89,2.1,1.5,4.05,2.54,2,2.5,1.85,1.95,1.82,1.32,2.09,2.63,1.36,3.04,1.99,2.9,3.06,,,,,,,,,
July,,,,,,,,1.98,4.94,3.5,2,2.4,2.02,3.66,2.78,3.93,1.97,0.69,0.96,2.08,1.45,2.54,1.95,4.6,1.74,2.85,1.12,2.04,2.49,3.04,3.67,,,,,,,,,
August,,,,,,,,1.77,3.35,4.23,4.48,5.04,3.65,1.86,3.38,2.25,2.94,3.07,3.88,1.45,5.7,3.15,3.18,3.02,4.18,4.16,2.84,2.95,2.83,3.03,2.74,,,,,,,,,
September,,,,,,,,3.29,0.85,2.76,1.18,3.55,2.82,2.57,0.76,1.07,3.65,4.22,1.3,3.55,0.57,0.98,0.8,3.91,2.09,1.42,1.17,0.42,3.27,2.38,,,,,,,,,,
October,,,,,,,,2.14,1.22,2.87,2.8,2.74,7.86,1.95,3.16,4.9,3.77,1.37,2.27,3.46,4.45,2.55,3.3,7.21,1.27,1.74,4.66,3.9,1.71,3.25,,,,,,,,,,
November,,,,,,,,1.04,5.09,2.45,5.11,2.7,1.95,1.38,1.9,2.7,0.9,2.7,1.5,1.45,3.05,3.35,1.65,3.35,1.59,3.14,1.82,2.58,2.28,1.06,,,,,,,,,,
December,,,,,,,,1.92,1.45,2.44,0.8,4.12,2.05,2.86,2.06,2.03,3.02,2.22,1.7,2.86,2.38,3.72,2.16,1.53,2.29,0.52,2.67,1.76,1.73,5.26,,,,,,,,,,
Total,,,,,,,,20.27,23.5,29.01,27.28,31.66,32.13,22.9,25.72,26.62,26.9,25.24,22.87,27.34,29.87,26.37,26.44,37.07,25.12,23.95,26.91,24.63,28.8,28.97,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Hinderton Lodge, where the observer Reginlad Bushell, lived. He is also named observer for the Hall, where his father lived. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are significant duplications between the two gauges at Hinderton Hall and the gauge at Hinderton Lodge, all have the same named observer. The readings are genarally very close so some duplication is to be expected. 1904 has substantial duplication between the Loadge and Main Gauge at the Hall and the Lodge has probaly copied the Hall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
