"NESTON HINDERTON LODGE",,,,,,,,,,,,
Grid ref,SJ299775,Long,-3.053049,Lat,53.289808,,,,,,,
Station no,RR1081,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.27,1.97,1.75,2.38,2.15,1.12,4.34,0.92,1.56,1.72,,
February,3.60,1.33,2.30,1.43,3.28,1.03,2.03,1.32,1.56,0.68,,
March,1.05,1.52,1.63,3.60,1.61,2.62,1.93,1.90,3.12,2.34,,
April,1.00,2.20,2.30,1.74,0.73,2.00,0.85,1.01,3.70,2.21,,
May,1.50,1.11,3.60,2.98,2.10,0.72,2.12,2.79,2.56,1.10,,
June,1.85,1.95,1.82,1.32,2.09,2.63,1.36,3.04,1.99,2.90,,
July,1.45,2.54,1.95,4.60,1.74,2.85,1.12,2.04,2.49,3.04,,
August,5.70,3.15,3.18,3.02,4.18,4.16,2.84,2.95,2.83,3.03,,
September,0.57,0.98,0.80,3.91,2.09,1.42,1.17,0.42,3.27,2.38,,
October,4.45,2.55,3.30,7.21,1.27,1.74,4.66,3.90,1.71,3.25,,
November,3.05,3.35,1.65,3.35,1.59,3.14,1.82,2.58,2.28,1.06,,
December,2.38,3.72,2.16,1.53,2.29,0.52,2.67,1.76,1.73,5.26,,
Total,29.87,26.37,26.44,37.07,25.12,23.95,26.91,24.63,28.80,28.97,,
Calc annual,29.87,26.37,26.44,37.07,25.12,23.95,26.91,24.63,28.80,28.97,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
