NESTON-OBSERVER-MONK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ288776,Long,-3.0695699,Lat,53.29056,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR1081,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1.8,2.04,1.78,1.4,2.21,1.78,1.41,2.36,1.8,,,,,,
February,,,,,,1.25,2.51,1.22,2.1,2.54,0.78,1.9,2.24,0.48,,,,,,
March,,,,,,1.38,1.73,1.2,2.6,1.55,1.28,0.7,2.64,2.37,,,,,,
April,,,,,,1.36,1.14,2.54,1.8,1.1,1.26,2.33,2.98,0.7,,,,,,
May,,,,,,3.15,1.65,2.27,1.76,4.33,0.58,1.3,2,1.53,,,,,,
June,,,,,,0.98,3.16,0.67,0.2,0.96,0.88,3.1,3.7,1.27,,,,,,
July,,,,,,1.36,2.62,2.33,0.2,0.28,1.56,3.68,6.24,1.56,,,,,,
August,,,,,,3.87,2.96,1.18,3.27,1.56,1.67,0.9,2.85,2.36,,,,,,
September,,,,,,0.32,4.38,1.76,1.7,3.9,1.73,3.87,6.01,3.37,,,,,,
October,,,,,,2.24,1.27,4.14,2.46,2.8,4.93,4.7,6.22,2.98,,,,,,
November,,,,,,1.6,3.85,0.86,2.24,3.14,2.5,1.35,2.96,2.2,,,,,,
December,,,,,,0.9,1.96,3.22,7.45,2.52,2.72,1.29,3.46,0.64,,,,,,
Total,,,,,,20.21,29.27,23.17,27.18,26.89,21.67,26.53,43.66,21.26,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is on Parkgate Road Neston where the John Monk's, the observer, family owned several properties and John is noted as living near his brother who lived at this NGR, Beech House. Altitude is from OS map. NGR +/- 250m",,,,,,,,,,,,,,,,,,,,
