SOUTHAMPTON-NETLEY-LAKE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU450091,Long,-1.361736,Lat,50.879649,Elevation,54,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.41,2.66,0.78,1.84,4.31,3.57,1,2.9,0.62,3.61,3.55,1.49,1.23,2.29,4.75,1.09,7.47,0.89,1.77,1.08,3.22,1.43,4.71,5.76,0.64,3.98,1.13,1.24,4.02,5.31,3.55,4.11,4.78,1.49,2.91,4.32,4.94,2.43,5.61,1.37,5.06,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.9,0.16,1.04,3.57,2.3,0.11,0.31,3.81,2.18,3.08,5.68,1.75,1.86,1.7,3.91,0.67,3.47,1.41,1.44,0.42,3.57,1.65,2.73,1.31,4.09,5.49,4.94,1.07,1.64,3.37,0.54,0.36,3.16,5.73,0.39,5.14,2.06,4.31,2.23,1.19,1.17,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.06,2.73,1.07,0.36,1.8,2.17,3.15,5.18,0.73,1,1.33,2.3,2.28,3.16,1.71,4.73,1.5,0.67,2.88,3.83,1.07,2.1,4.18,3.41,4.99,0.87,3.72,3.41,0.99,5.13,2.43,1.16,2.25,1.63,1.58,0.31,0.55,3.27,3,0.15,1.95,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.93,0.98,0.62,0.06,2.13,2.72,0.4,2.38,1.47,2.71,1.47,2.79,1.79,2.88,1.42,1.59,1.03,4.47,3.56,1.4,2.33,1.66,0.07,3.48,1.38,1.34,0.57,2.27,2.44,2.43,3.53,1,3.42,3.17,3.3,2.77,3.58,1.76,1.9,1.11,2.71,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.79,2.37,0.97,0.79,1.28,0.66,0.36,1.74,3.73,1.13,1.5,1.62,2.55,3.02,3.8,0.67,2.01,3.2,1.96,1.71,1.68,1.38,1.33,2.97,1.29,3.37,1.35,2.11,1.47,0.31,1.52,1.5,0.78,1.99,4.15,4.18,1.76,0.67,1.3,1.99,1.97,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.59,1.73,1.51,1.12,2.08,1.4,2.5,2.09,1.18,1.59,2.66,1.37,3.69,3.76,1.32,4.17,1.75,1.93,0.53,5.24,2.64,1.86,4,0.56,0.58,1.37,1.87,2.67,1.2,0.74,2.34,0.09,1.93,0.35,2.72,0,2.62,2.48,2.11,1.32,0.7,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.85,2.6,2.1,3.6,5.08,3.48,0.64,0.87,0.67,0.75,1.77,2.63,1.46,2.5,1.51,0.21,0.66,1.74,1.86,2.61,2.15,0.1,2.69,1.28,2.81,4.29,0.77,3.33,4.53,1.54,5.51,0.37,3.97,1.17,3.58,2.91,1.83,2.89,1.75,1.78,2.05,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,4.64,6.07,3.11,1.64,1.95,3.28,2.25,3.73,1.26,0.52,3.46,2.1,4.15,4.49,3.36,3.19,1.4,1.82,4.24,2.31,2.24,0.77,6.02,2.31,2.52,2.04,3.12,6.07,2.32,3.02,1.53,2.12,3.4,2.38,3.14,4.08,1.18,3.51,2.71,1.55,4.07,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.58,1.34,3,1.58,2.04,0.29,6.86,2.58,1.34,2.48,1.06,2.22,1.1,3.01,2.51,2.06,1.14,0.45,1.72,4.18,0.16,1.21,2.41,2.78,1.56,3.76,2.26,1.5,6.46,2.44,2.45,0.92,1.71,2.07,5.66,3.19,0.41,5.87,1.13,0.33,3.25,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.79,9.67,4.64,3.6,3.94,2.83,2.83,0.76,5.14,1.83,2.78,3.32,2.27,10.74,2.35,2.4,6.53,7.71,1.76,9.19,5.01,4.45,3.75,4.78,2.99,3.83,5.57,4.98,1.67,0.83,3.65,0.69,1.32,6.01,4.35,4.11,2.7,1.83,6.81,4.71,2.47,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,1.9,3.67,3.05,2.38,5.11,5.33,0.82,1.3,4.69,5.86,3.57,0.55,3.43,2.01,1.09,4.17,4.78,2.81,1.39,0.7,3.9,4.76,2.14,3.32,4.33,3.47,4.24,0.7,2.4,3.04,2.34,2,2.3,1.97,2.52,3.08,7.06,3.06,2.67,8.49,6.23,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1.34,4.78,1.98,2.83,2.35,2.48,4.37,4.8,3.42,1.74,4.09,4.66,1.82,3.08,3.37,0.85,2.05,4.28,3.62,4.09,5.29,9.32,4.22,2,9.88,8.44,4.3,1.27,2.42,5.73,3.06,1.77,5.06,3.33,5.43,3.92,0.41,3.72,2.89,7,3.91,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,26.78,38.76,23.87,23.37,34.37,28.32,25.49,32.14,26.43,26.3,32.92,26.8,27.63,42.64,31.1,25.8,33.79,31.38,26.73,36.76,33.26,30.69,38.25,33.96,37.06,42.25,33.84,30.62,31.56,33.89,32.45,16.09,34.08,31.29,39.73,38.01,29.1,35.8,34.11,30.99,35.54,27.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
