STAINBOROUGH WENTWORTH CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE319032,Long,-1.520295,Lat,53.524503,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,4.72,2.48,1.39,0.18,0.37,2.9,4.69,4.29,1.65,4.38,2.24,0.9,1.34,3.32,1.73,1.54,1.78,2.29,3.88,0.64,2.48,0.58,3.78,2.8,1.92,1.16,2.48,2.92,0.39,3.78,0.98,1.79,1.66,2.63,1.1,5.41,4.41,1.53,3.72,,,,
February,,,,,,,,2.42,1.31,2.53,2.47,3.92,2,2.64,1.87,3.19,0.57,0.65,1.43,1.74,0.97,0.05,2.82,3.71,3.66,0.21,0.88,2.94,1.12,1.47,4.74,1.48,1.78,2.31,4.46,1.11,2.46,1.5,2.26,0.57,2.62,1.94,1.9,0.79,1.95,4.02,,,,
March,,,,,,,,2.94,0.62,1.26,2.7,4.14,1.65,1.59,1.95,1.8,3.17,1.81,3.63,3.98,2.03,1.36,1.37,0.69,1.44,1.88,2.99,2.99,1.29,0.97,0.87,2.81,1.22,3.67,2.09,2.61,1.59,1.55,3.34,3.54,0.43,0.96,2.39,4.12,2.47,1.02,,,,
April,,,,,,,,4.07,1.6,3.67,1.95,1.09,3.97,3.29,2.01,2.09,2.15,0.5,2.71,3.76,0.74,2.63,1.01,0.66,2.69,2.21,1.18,2.58,2.68,2.11,0.98,1.4,2.6,1.76,1.82,2.29,0.82,1.93,2.08,1.64,1.92,0.95,0.31,2.58,0.7,0.86,,,,
May,,,,,,,,3.24,3.46,2.17,2.66,1.98,1.31,1.25,1.27,2.37,7.03,2.25,0.55,3.55,3.22,3.21,3.58,2.99,1.47,0.69,0.52,0.84,2.7,2.8,1.38,1.47,2.49,3.98,3.25,0.58,2.11,3.81,2.54,1.9,2.62,1.2,4.1,2.34,1.21,1.61,,,,
June,,,,,,,,1.98,2.72,5.02,3.8,1.48,3.21,3.8,1.33,3.05,0.95,0.29,2.05,0.35,2.42,2.63,3.81,1.56,2.7,1.99,4.18,2.38,1.01,2.08,2.68,1.08,1.95,1.68,0.8,1.81,1.45,2.91,1.58,4.48,2.8,2.67,3.77,0.53,2.51,0.87,,,,
July,,,,,,,,2.51,0.99,3.83,5.42,1.33,3.49,3.4,2.76,0.58,4.29,0.91,5.55,1.53,2.14,2.03,2,3.27,3.43,4.73,0.87,0.61,0.75,1.67,3.85,5.08,1.88,3.42,1.19,1.89,2.42,1.28,2.22,3.46,3.28,0.1,5.32,1.46,2.1,4.51,,,,
August,,,,,,,,4.32,6.43,5.02,1.91,4.05,1.97,1.24,1.84,1.15,1.65,1.51,1.98,3.06,3.66,3.3,2.66,2.45,2.08,1.86,1.48,1.74,2.93,1.36,5.77,1.46,3.93,3.62,4.32,3.44,1.38,1.82,2.3,2.13,3.25,1.34,6.23,1.78,1.55,2.74,,,,
September,,,,,,,,4.02,2.7,2.07,4.65,3.2,2.9,4.99,0.99,2.78,1.13,2.82,1.16,1.3,1.62,2.05,2.35,0.94,0.57,0.47,5.98,2.15,0.51,3.41,0.3,0.86,1.45,3.55,0.79,1.03,0.68,0.39,1.66,2.78,0.17,1.79,1.24,2.71,1.86,0.81,,,,
October,,,,,,,,3.22,2.46,1.28,7.01,4.27,4.42,3.97,1.29,6.98,4.31,3.02,0.94,4.72,1.09,3.92,5.93,1.81,4.83,3.71,3.83,1.18,2.89,2.91,2.94,1.82,3.02,7.84,0.44,1.64,5.66,5.72,1.21,2.24,2.07,2.49,2.56,3.7,2.5,1.54,,,,
November,,,,,,,,3.62,2.81,1.58,2.27,2.73,4.01,2.98,1.06,2.81,1.83,1.9,7.46,0.93,4.67,3.04,1.76,1.96,1.18,3.74,1.28,2.29,3.01,1.47,2.42,3.56,2.56,1.12,1.02,4.59,3.03,2.58,1.18,0.5,3.49,3.64,2.65,1.83,3.51,2.85,,,,
December,,,,,,,,3.42,2.12,2.04,3.64,3.18,5.59,1.07,2.68,0.92,4.74,2.16,2.31,1.44,0.83,5.32,0.46,3.63,1.52,2.89,3.37,2.88,2.91,2.84,4.28,5.2,2.62,1.48,1.67,0.63,1.73,2.23,1.44,5.05,4.07,4.87,2.99,1.65,6.31,7.4,,,,
Total,,,,,,,,40.48,29.7,31.86,38.66,31.74,37.42,34.91,23.34,29.37,36.2,20.06,30.67,27.7,26.71,31.27,29.29,25.45,27.86,28.26,27.2,25.06,22.38,26.87,33.01,28.14,26.66,36.91,24.77,22.01,27.11,26.7,23.6,29.95,29.35,23.05,38.87,27.9,28.2,31.95,,,,
