WALTON-ON-THAMES-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ085662,Long,-0.44167,Lat,51.38469,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,232/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.5,3.8,2.34,2.12,2.75,4.61,1.53,1.31,1.29,1.71,3.21,1.46,0.77,3.37,1.69,0.99,1.13,2.73,3.86,1.5,2.1,2.16,2.04
February,,,,,,,,0.41,0.78,1.76,1.97,0.71,1.19,0.94,1.36,2.15,1.25,1.15,0.84,3.65,5.53,0.75,1.08,1.97,1.37,0.34,2.76,2.01,0.09,1.9
March,,,,,,,,0.27,1.1,2.05,3.19,1.76,0.41,0.1,0.84,0.99,,0.68,0.61,0.76,3.15,2.17,0.38,2.05,0.85,0.42,0.91,1.23,1.78,1.24
April,,,,,,,,0.06,1.4,2.52,1.67,1.02,0.72,1.2,1.13,1.93,1.58,1.73,1.74,2.66,2.38,1.29,2.28,0.58,0.16,1.4,0.24,0.96,2.01,0.58
May,,,,,,,,1.57,2.35,1.58,1.31,3.83,2.02,0.89,1.72,2.73,1.18,2.31,2.36,1.59,2.35,2.27,1.3,2.84,3.49,0.17,1.11,2.32,0.68,1.79
June,,,,,,,,0.52,1.44,0.61,1.92,1.98,1.27,2.65,1.66,2.41,2.98,3.59,0.42,2.03,0.88,1.77,1.64,4.12,2.49,1.62,0.76,3.72,0.91,1.9
July,,,,,,,,1.02,2.37,2.29,3.48,2.03,2.21,1.4,4.17,2.02,2.72,1,1.21,3.15,1.81,0.46,3.6,2.34,0.24,5.3,2.93,1.61,2.71,2.54
August,,,,,,,,2.03,2.24,0.07,5.15,2.36,1.3,2.64,1.77,4.04,0.28,3.06,1.68,2.45,2.93,2.94,1.6,2.73,1.13,3.12,3.07,3.76,1.59,2.64
September,,,,,,,,1.15,0.68,1.15,0.32,0.51,1.79,1.98,1.93,2.66,0.93,1.36,0.46,2.7,2.22,2.72,1.88,1.81,1.52,3.22,2.45,3.83,0.19,1.96
October,,,,,,,,2.21,3.21,1.71,0.96,3.64,2.21,2.93,2.41,0.87,0.16,2.2,5.03,0.46,0.66,3.35,2.93,1.48,2.69,1.32,1.66,3.27,2.52,7.19
November,,,,,,,,2.96,4.33,7.24,2.52,2.03,1.24,3.6,0.53,4.03,0.99,1.61,2.25,5.11,5.89,3.28,1.17,4.25,1.32,0.55,2.57,1.94,2.28,4
December,,,,,,,,3.52,1.68,1.04,1.52,2.45,1.39,1.42,3.08,2.06,2.93,2.61,1.33,1.74,1.58,2.39,0.69,2.25,2.31,2.76,1.62,2.64,3.42,2.22
Total,,,,,,,,18.22,25.38,24.36,26.13,25.07,20.36,21.28,21.91,27.18,,24.51,19.39,27.07,32.75,25.08,19.54,27.55,20.3,24.08,21.58,29.39,20.34,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Mar Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov Dec Total BR proof amended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
