MEALL DUBH,,,,,,,,,,
Grid ref,NO074533,Long,-3.512311,Lat,56.662283,Elevation,1250,ft,,
Station no,5568/57,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.5
February,,,,,,,,,,6.3
March,,,,,,,,,,3.8
April,,,,,,,,,5.15,6
May,,,,,,,,,1.25,3.2
June,,,,,,,,,1.9,2.25
July,,,,,,,,,4.09,4.2
August,,,,,,,,,1.8,4.5
September,,,,,,,,,1.05,2.95
October,,,,,,,,,4.55,8.15
November,,,,,,,,,5.6,4.6
December,,,,,,,,,9.5,3.5
Total,,,,,,,,,,53.95
,,,,,,,,,,
Station no,5568/57,,,,,,,,,
Midas,15258,to 1979,,,,,,,,
Hyd Stn,876531,,,,,,,,,
