"LINCOLN (REEPHAM)",,,,,,,,,,,,
Grid ref,TF040737,Long,-0.442741,Lat,53.250135,,,,,,,
Station no,2557/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.85,1.64,4.06,1.18,2.14,2.50,4.67,,
February,,,,2.11,2.77,0.75,2.16,3.49,0.33,2.07,,
March,,,,1.05,2.43,1.14,1.29,1.69,1.68,1.09,,
April,,,,0.17,0.83,1.24,0.18,0.63,1.45,0.98,,
May,,,,1.91,2.00,0.50,1.47,1.96,0.38,0.68,,
June,,,,1.88,2.92,-999.00,2.15,4.58,0.70,0.61,,
July,,,,1.58,0.38,-999.00,2.75,4.66,1.61,3.62,,
August,,,,3.42,0.47,4.15,2.60,2.76,0.46,4.07,,
September,,,,1.91,1.32,1.39,4.19,2.33,0.11,2.06,,
October,,,,2.50,1.09,1.11,0.89,1.32,1.92,4.76,,
November,,,,2.91,1.16,0.68,1.85,0.84,1.82,2.97,,
December,,,,1.96,1.70,1.58,1.66,2.79,3.59,3.09,,
Total,,,,22.25,18.71,21.68,22.37,29.19,16.55,30.67,,
Calc annual,0.00,0.00,0.00,22.25,18.71,16.60,22.37,29.19,16.55,30.67,,
Difference,NaN,NaN,NaN,-0.00,0.00,5.08,0.00,0.00,0.00,0.00,,
