CROYDON-OAKFIELD-ROAD,,,,,,,,,,
Grid ref,TQ321663,Long,-0.10322294,Lat,51.380388,Elevation,180,ft.,,
Station no,RR8771,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.89,0.41,1.6,,,,,,
February,,0.03,1.45,3.23,,,,,,
March,,2.95,1.11,0.41,,,,,,
April,,0.63,1.28,0.06,,,,,,
May,,2.82,1.18,0.63,,,,,,
June,,1.13,2.94,0.76,,,,,,
July,,3.84,2.16,,,,,,,
August,,3.9,3.25,,,,,,,
September,,0.69,1.96,,,,,,,
October,,5.75,3.82,,,,,,,
November,,2.51,2.23,,,,,,,
December,,2.56,1.24,,,,,,,
Total,,28.7,23.03,,,,,,,
,,,,,,,,,,
NGR is Oakfield Road. Altitudes match.,,,,,,,,,,
Gauge moved to Chatfield Road (380 yards stated on the record) on 1st July 1893.,,,,,,,,,,
220m from CROYDON-WOBURN-ROAD and adds years,,,,,,,,,,
