CROYDON-CHATFIELD-ROAD,,,,,,,,,,
Grid ref,TQ318664,Long,-0.10749408,Lat,51.381356,Elevation,160,ft.,,
Station no,RR8771,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.57,1.5,0.54,1.95,,
February,,,,,1.54,0.26,0.29,1.94,,
March,,,,,0.96,1.21,3.13,3.73,,
April,,,,,1.54,1.48,0.69,1.19,,
May,,,,,1.39,0.44,0.16,1.49,,
June,,,,,2.49,0.28,1.95,2.22,,
July,,,,2.13,3.84,3.49,1.83,1.39,,
August,,,,0.44,3.03,2.54,2.19,,,
September,,,,1.16,1.65,0.49,6.27,2.64,,
October,,,,3.48,5.73,2.63,3.21,0.67,,
November,,,,2.06,3.87,3.65,1.52,,,
December,,,,2.13,1.5,2.14,3.12,,,
Total,,,,,30.11,20.11,24.9,,,
,,,,,,,,,,
NGR is Chatfield. Altitudes match.,,,,,,,,,,
500m from CROYDON-WOBURN-ROAD and adds years,,,,,,,,,,
