CASTLE-CARY-ALFORD-HOUSE-(ALFORD-RECTORY),,,,,,,,,,,,,,,,,,,,,
Grid ref,ST605322,Long,-2.56525,Lat,51.08821,Elevation,100,ft,,,,,,,,,,,,,
Station no,1998,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.22,3.06,4.21,3.97,4.5,1.42,4.39,2.43,2.36,2.33,2.45,0.6,,,,,
February,,,,,0.6,4.06,2.05,3.96,2.45,1.43,0.76,2.6,0.05,4.33,0.2,3.04,,,,,
March,,,,,1.16,0.81,1.13,3.44,2.38,0.31,1.91,0.9,1.93,3.02,2.4,1.08,,,,,
April,,,,,2.19,2.68,3.42,1.43,1.18,0.91,2.72,2.63,2.46,1.99,2.38,4.23,,,,,
May,,,,1.3,5.5,3.17,2.55,1.96,0.99,1.99,2.24,3.21,5.17,2.29,1.19,,,,,,
June,,,,0.56,2.56,0.02,2.67,3.26,2.81,1.43,0.33,3.25,1.23,2.09,1.75,,,,,,
July,,,,1.39,3.02,2.31,2.59,5.26,2.18,1.63,1.84,4.95,3.35,3.08,0.97,,,,,,
August,,,,2.64,5.43,2.83,1.64,4.12,1.67,2.65,3.6,4.68,0.99,1.61,3.24,,,,,,
September,,,,3.24,3.67,3.54,1.15,6.44,1.21,0.34,3.82,1.42,4.33,1.83,3.46,,,,,,
October,,,,5.68,5.53,2.79,4.55,2.21,5.41,4.63,3.1,0.51,6.8,3.01,2.71,,,,,,
November,,,,2.57,3.18,2.12,6.49,3.15,3.46,7.11,4.51,3.68,2.28,0.66,1.41,,,,,,
December,,,,3.31,4.74,2.95,0.49,2.65,3.2,5.73,3.56,1.09,1.75,0.72,7.06,,,,,,
Total,,,,,41.8,30.34,32.94,41.85,31.44,29.58,32.78,31.35,32.7,26.96,29.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1923 May Transferred from Alford House 0.25 miles NNE,,,,,,,,,,,,,,,,,,,,,
1935 May Moved to Dunster The Priory 39 miles NW,,,,,,,,,,,,,,,,,,,,,
