CASTLE-CARY-ALFORD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST606326,Long,-2.56397,Lat,51.09175,Elevation,98,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.93,1.24,3.25,1.11,4.15,4.51,1.18,3.68,1.34,1.09,3.13,4.32,3.37,2.99,3.55,1.77,,,,,,,
February,,,,,,,,,1.34,0.78,4.09,2.25,2.48,0.89,2.85,4.46,5.14,1.56,1.04,2.13,0.83,0.21,2.42,6.01,,,,,,,
March,,,,,,,,,1.94,3.48,0.62,2.39,5.26,2.81,5.51,1.24,2.66,3.12,1.53,4.46,2.36,1.97,2.2,1.84,,,,,,,
April,,,,,,,,,2.77,2.12,2.92,2.14,0.25,2.89,1.37,1.26,1.27,1.79,1.91,2.24,4,0.82,2.63,2.22,,,,,,,
May,,,,,,,,,1.68,0.82,2.21,1.45,1.59,2.86,1.8,2.39,2.3,2.37,1.36,0.72,1.74,1.47,0.88,,,,,,,,
June,,,,,,,,,0.72,3.18,5.58,2.37,3.76,0.99,2.45,0.75,1.96,8.25,0.8,1.21,2.33,0.57,1.22,,,,,,,,
July,,,,,,,,,2.35,3.41,2.95,0.06,3.17,0.87,5.43,4.27,1.06,3.25,5.52,2.63,5.13,0.66,3.68,,,,,,,,
August,,,,,,,,,2.1,1.89,4,2.49,6.22,1.54,3.27,2.47,5.24,6.98,3.43,3.62,1.44,1.76,4.65,,,,,,,,
September,,,,,,,,,3.45,2.86,0.22,1.26,0.83,3.43,2.78,1.52,3.56,1.88,5.49,1.54,1.84,1.56,2.29,,,,,,,,
October,,,,,,,,,2.47,5.55,4.24,3.02,3.85,2.93,2.32,4.57,6.41,4.27,1.6,1.8,2.74,1.14,1,,,,,,,,
November,,,,,,,,,1.31,0.72,3.83,2.86,1.87,3.02,3.72,1.98,3.45,0.96,2.21,2.4,1.37,1.59,1.37,,,,,,,,
December,,,,,,,,,3.29,4.36,6.55,7.04,5.28,2.34,6.49,6.37,3,1.01,3.61,5.62,2.15,1.94,3.46,,,,,,,,
Total,,,,,,,,,24.35,30.41,40.46,28.44,38.71,29.08,39.17,34.96,37.39,36.53,31.63,32.69,29.3,16.68,29.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 May Transferred to Alford Rectory 0.25 miles SSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
