PENTLAND HILLS SWANSTON (monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT236674,Long,-3.2226,Lat,55.8941,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.87,1.9,2.6,,,,,,1.8,2.8,4.25,,5.8,2.85,1.85,2.5,4.6,3.5,1.7,3.6,1.5,7.55,3.1,1,1.3,1.2,3,3.7,3.5,2.25,3.6,1.2,2,1.4,5.1,1.1,2.5,,2.73,2.38,1.06,0.64,0.75,4.05,3.23,,0.6,3.55,2.3,0.83,4.52,0.94,3.34,3.68,3.26,0.98,2.1,2.9,2.56,1.53,3.3,2.75,3,2.8,3,5.2,,,,,4.3,2.85,5.92,,,2.15,3.95,2.5,2.7,1.12,3.98,2.91,4.23,4.35,1,0.94,3.5,2.33,1.93,2.92,1.93,2.4,5.42,2.08,1.1,2.48,2.3,0.58,3.5,1.25,1.05,3.6,1.5,0.5,2.03,,
February,,,,,,,2.7,0.9,1.43,,,,,,2.8,1.58,5,,3.95,3.9,3.7,2.45,2.5,1.7,1.2,2,3.7,2.75,1.2,2.6,2.2,2.2,2.25,1.8,1.1,2.75,1.5,1.6,1.6,1.7,1,0.5,3.5,,8.78,1.1,0.88,1.49,0.73,1.65,2.08,1.18,0.75,5.1,2.28,1.75,1.44,1.14,1.14,1.4,3.29,2.5,2.15,1.7,2.55,2.48,5,1,3.4,1.9,2.7,0.67,,,,,3.15,1.4,2.7,,,1.75,0.25,1.35,0.05,1.95,3.1,3.65,1.05,2.25,1.02,2.4,1.16,1.6,0.65,3.08,1,1.59,2.35,1.4,3.2,2.2,0.38,0.8,1.55,1.15,1.5,2.55,2.25,,1.8,,
March,,,,,,,0.09,2.5,1.42,,,,,,4,1.1,2.4,,2.95,0.95,1.1,1.6,3.8,2.05,1.9,1.4,5,2.3,1,3.5,2.1,2,1.6,1.8,2.2,2,3,2,4,1.5,2.4,5.3,2.5,,2.6,4.18,2.27,2.95,0.86,2.4,1.23,1.85,0.9,5.25,1.1,4.08,2.4,1.79,3.5,6.3,1.39,1.38,2.3,4.3,3.8,1.8,5.18,1.9,0.8,2.3,2.8,2.92,,,,,1.76,2.1,2.52,,,1.25,2.65,1.2,2.65,1.05,2.95,2.55,0.75,3.1,3,2.43,1.4,1.65,0.26,1.18,1.12,4.55,1.3,0.5,2.52,2.88,1.03,0.37,1.41,1.15,1.1,0.43,2,0.5,1.2,,
April,,,,,,,2.9,2.5,1.04,,,,,,1.32,0.3,2.7,,4.5,1.4,0.6,4.1,2.3,0.4,2.5,0.9,3.5,3.9,1.2,2.8,4.5,0.4,2.25,1.8,0.75,2.5,1.9,1.5,2,3.1,0.5,1,2.4,,1.7,1.67,1.06,1.33,2.32,3.33,1.72,1.45,1.15,1.12,1.3,1.78,1.01,1.08,2.28,2.5,3.93,1.82,0.25,2.6,1.38,1.6,3.25,2.38,0.9,3.18,2.3,0.98,,,,,1.75,2.01,1.2,,,2.1,2.7,2.18,4.68,3.25,1.15,1.25,0.14,1.55,2.7,1.3,1.58,1.21,2.1,1.11,0.38,3.48,1.05,1.32,2.45,2.45,1.23,2.05,1.38,0.4,0.6,0.52,1.6,1.7,,,
May,,,,,,,4.65,1.9,2.8,,,,,,2.14,5.32,1.5,,1.62,2.6,1.5,0.98,4.8,2.7,1.8,1.3,1.2,3,3.6,2,1.9,2.3,3.15,1.25,0.51,3.4,5.5,2.4,1.1,2.8,1,2.4,4,,3.94,1.06,0.41,1.57,1.7,4.15,1.85,2.8,3.05,1.9,3.55,1.2,5.34,2.78,2.35,2,1.84,1.24,1.55,1.7,2.08,1.62,4.71,1.95,3.1,0.92,2.6,1.9,,,,,3.45,1.18,1.61,,,2.95,3.65,1.7,1.45,0.92,0.85,3.05,3.5,0.86,1.87,2.75,1.42,3.5,2.47,4.15,1.91,2.72,1.83,2.2,1.95,3.2,1.48,1.25,4.35,2.13,0.8,1.53,1.8,0.3,1.3,,
June,,,,,,,4.3,4.8,1.7,,,,,,1.5,0.5,1.25,,0.9,2.2,3.3,2.7,3.1,1,1.9,2.5,3.3,2.7,2.2,6.5,2,1.6,3,2.3,0.1,1,1.7,0.5,2.9,2.8,3.6,2,5.4,,2.8,2.43,3.82,3.83,1.74,1.78,3.85,2.3,2.65,1.55,2.75,0.59,1.83,2.88,1.35,2.1,1.22,2.52,4.9,1.9,1.3,1.8,2.6,2.05,0.65,1.7,1.45,0.51,,,,,3.22,3.6,5.4,,,4.1,1.25,1.95,2.83,2.35,1.65,1.25,3.45,1.55,0.48,0.68,0.75,1.72,2.47,1.27,1.55,2.39,3.67,1.05,1.2,1.58,1.1,1.68,2.15,0.75,2.15,1.4,3.8,1.7,1.1,,
July,,,,,,,2.2,1.8,4.83,,,,,,2.2,3.5,5.4,,0.42,1.17,1.8,3.8,3.6,2.9,2.5,4.3,1.5,5.6,0.75,8,,3.3,2.3,3.8,1.75,1.1,2.9,2.5,6.5,5.2,3,3.3,2,,2.5,5.12,4.48,1.84,1.3,4.3,3.36,1.4,2.45,3.97,1.95,2.53,1.38,2.75,4.02,3.53,3.98,1.01,2.15,0.58,2.55,3.41,5.58,1.62,4.02,0.64,3.35,2.7,,,,,2.8,2.09,2.75,,,3.55,2.55,5.2,2.54,0.65,4.1,4.95,2.6,2.65,7.14,2.4,2.42,1.9,2.51,2.45,2.84,2.93,2.95,2.19,2.69,3.75,1.38,3.3,1.68,0.96,5.03,4.7,6.7,2.34,,,
August,,,,,,,4.25,2.6,2.25,,,,,,0.7,4,3.5,,5.03,1.2,1.2,2.8,3.4,4.4,4.6,1.8,3,8.9,5.5,3.4,,6.62,3.6,2.5,0.75,1.1,1.2,2.2,2.2,5.8,4.5,8.1,8.2,,4.88,5.43,1.48,3.1,3.4,0.65,5.33,4.1,1.4,2.78,5.03,3.1,6.83,3.7,2.15,1.84,4.5,1.48,4.7,1.62,1.55,4.1,4.25,4.75,1.75,1.6,5.8,5.1,,,,,3.02,7.05,4.7,,,5.7,0.65,0.95,3.65,3,1.27,4.04,1.6,1.03,0.6,2.3,2.55,3.63,3.2,3.35,3.89,0.2,7.9,2.1,2.9,5.25,3.9,1.93,4.53,0.93,6,2.5,2.6,0.3,,,
September,,,,,,,7.1,5.9,2.8,,,,,,3.5,0.7,3,,4.35,5.05,1.98,3.4,5.5,4,2.5,3.8,5,1.4,4.1,1.3,3.5,3.75,4.9,2.7,1,3.2,3.1,4.5,0.75,1.2,2.9,9.3,3.2,,0.6,0.8,4.76,1.96,2.02,3.37,2.56,1.3,1.52,2.05,1.63,1.7,0.7,1.49,2.32,2.83,0.7,1.62,3.45,2.5,0.75,3.16,1.82,1.4,4.6,2.8,1.6,2.2,,,,,3.9,9.02,1.95,,,2,2.65,2.55,1.85,3.55,2.27,1.75,2.85,1.3,3.3,0.69,3.1,1.47,5.35,2.35,3.71,1.58,1.45,1.83,5.02,0.93,1.53,3,2.95,1.27,3.93,0.9,2.4,,,,
October,,,,,,,1.8,2.1,6.6,,,,,,11.4,5.7,1.4,,2.7,2.1,2.07,2.4,3.9,5.5,3.1,2.8,3,3.4,2.95,1.7,3.2,2.1,1.6,2.5,1.5,2.6,4.9,2.2,1.6,4.5,3,4.5,7.4,,2.9,3.68,4.32,1.42,3.76,1.88,4.58,1.55,1.72,6.58,1.19,2.05,6.58,9.6,1.25,5.05,2.91,3.21,2.85,2.2,1.63,2.1,5.01,3.2,3.45,2.6,1.2,4.09,,,,,3.64,3.1,3.33,,,1.55,5.95,2.4,3.8,6.65,1.68,4.25,5.3,1.85,2.6,2.4,2.75,3.43,2.64,3.8,0.69,1.03,0.9,4.7,2.38,0.55,1.38,1.4,5.9,1.38,2.57,1.9,1.05,,,,
