DALRY (WHITEHILL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS264563,Long,-4.768872,Lat,55.768795,Elevation,628,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.5,1.1,10.85,7.9,7.09,4.85,8.5,7.8,8.67,8.6,5.65,6.35,8.25,4.1,5.8,4.25,5.75,7.85,8.75,2.95,5.85
February,,,,,,,,,9.87,5,5.6,3,7.75,3.25,9.45,5.15,1,6.7,7.55,5.65,4.2,3.25,4.35,7.15,4,2.5,5.7,6.5,3.4,7.2
March,,,,,,,,,6.15,6.23,3.2,3.88,2.65,2.05,4.45,3.7,5,6,5.2,4.9,4.8,5.8,1.85,5,2.8,4.35,8.05,2.4,5.05,3
April,,,,,,,,,3.87,3.6,3,3.6,5.45,4.15,3.8,3.1,6.95,4.7,9.85,3.95,3.75,3.2,4,3.5,7.3,1.95,3.6,2.55,4.35,7.65
May,,,,,,,,,1.65,1.16,3.95,4.2,4.2,5.5,5.1,1.25,5.6,2.9,2.95,1.6,2.5,1.9,3.3,4.3,5.5,4.35,3.15,5.25,2.8,3.4
June,,,,,,,,,3.95,1.28,2.45,2.95,5.7,5.2,4.9,4.3,5.5,7.25,1.25,3.25,2.85,4.8,1.85,6,5.5,4.7,3.8,2.9,3.7,4.85
July,,,,,,,,,8.95,3.34,4.85,6.35,4.18,5.55,4.5,,4.85,5.85,2.55,7.25,5.75,5.75,7.5,6.1,2.1,8.35,8.25,5.75,7.6,6.65
August,,,,,,,,,2.35,3.75,7.3,10.7,9.82,4.5,2.8,4.05,0.1,9.8,7.45,8.75,5.6,6.85,6.35,8.75,1.65,7.45,6.45,6,1.95,5.05
September,,,,,,,,,4.7,7.15,3.1,9.25,5.15,7.9,7.15,11.65,7.3,10.4,3.8,14,6.6,5.55,8.75,9.3,7.2,6.6,4.75,5.45,2.55,4.75
October,,,,,,,,,3.08,7.06,7,10.4,12.95,9.25,9.7,0.4,3.6,11.35,9.45,6.45,1.85,7.85,4.2,12.65,4.95,3.9,8.75,6.25,8.46,3.6
November,,,,,,,,,12.75,10.75,5.4,1.4,4.7,8.75,0.8,10.35,8.75,5.35,9.95,4.75,8.45,3.65,11.5,11.5,4.5,3.2,4.15,4.3,5.44,9.85
December,,,,,,,,,5.95,10.6,3.5,10.9,4.26,7.45,6.2,7.5,4.05,9.5,10.75,2.6,10.8,8.2,7.25,8.75,11.06,8.3,7.4,8.85,12.3,9.7
Total,,,,,,,,,,65.42,50.45,77.48,74.71,70.64,63.7,,60.5,88.47,79.35,68.8,63.5,65.05,65,88.8,60.81,61.4,71.9,64.95,60.55,71.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 J +T est deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 J+T est deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Est for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,647920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
