"CRARAE LODGE",,,,,,,,,,,,
Grid ref,NR986973,Long,-5.241906,Lat,56.125813,,,,,,,
Station no,5425,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.48,6.91,7.77,9.06,4.06,6.17,12.16,8.22,1.64,4.64,,
February,4.67,4.10,4.96,4.36,4.80,2.71,3.37,2.54,1.81,5.48,,
March,5.58,4.98,2.48,4.60,2.05,3.58,9.52,2.55,5.17,1.76,,
April,4.23,3.35,4.60,3.94,7.07,3.09,2.88,2.32,3.87,6.60,,
May,1.41,1.54,3.87,4.23,5.34,5.87,1.03,4.34,1.24,2.76,,
June,3.04,5.54,1.22,6.96,6.08,3.98,6.62,2.71,3.50,4.53,,
July,7.09,6.25,7.70,6.45,1.16,2.65,7.56,3.18,9.22,4.83,,
August,5.45,7.43,7.92,7.33,3.17,6.16,7.97,5.06,1.76,4.14,,
September,4.13,5.92,12.49,9.99,9.63,7.01,4.98,6.06,2.95,3.49,,
October,4.45,7.29,6.05,14.36,9.05,5.95,11.61,6.42,7.72,2.60,,
November,10.52,3.35,15.89,11.33,3.35,7.10,4.52,2.28,6.93,8.79,,
December,14.07,9.31,8.25,14.08,11.46,13.43,7.07,6.07,10.89,10.59,,
Total,73.12,65.97,83.20,96.69,67.22,72.70,79.29,51.75,56.70,60.21,,
Calc annual,73.12,65.97,83.20,96.69,67.22,67.70,79.29,51.75,56.70,60.21,,
Difference,0.00,0.00,0.00,0.00,0.00,5.00,0.00,-0.00,0.00,-0.00,,
