WOODFORD-EASTERN-SEWAGE-WORKS,,,,,,,,,,
Grid ref,TQ417907,Long,0.044415,Lat,51.597328,Elevation,43,ft,,
Station no,1262/6/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.06,1.39
February,,,,,,,,,0.08,1.83
March,,,,,,,,,1.25,1.02
April,,,,,,,,,1.65,0.46
May,,,,,,,,,1.5,1.74
June,,,,,,,,,0.57,2.13
July,,,,,,,,,1.26,2.93
August,,,,,,,,,0.87,3.77
September,,,,,,,,,0.02,3.72
October,,,,,,,,,1.64,5.37
November,,,,,,,,,2.86,2.94
December,,,,,,,,,2.71,2.22
Total,,,,,,,,,15.47,29.52
