BRADNINCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST003040,Long,-3.4162,Lat,50.8277,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.9,5.7,3.2,3.15,3.6,2.6,3.25,4.3,0.2,6.7,6.7,3.2,4,1.3,4.7,2.8,0.7,2.6,4.6,1.5,3.7,5.2,3,5.7,6.5,5.3,4,5.5,2.4,3.3,6.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.6,3.7,5,2.6,4.6,2.7,5,3.3,2,1.3,2,4.3,2.3,0.7,1.9,3.6,0.1,2.6,1.7,2.8,1.2,1.2,4.6,4.2,4.5,3.5,2,3.3,2.5,1.7,4.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,3.7,2.4,4,0.6,2.2,3.55,4.5,1.1,0.6,6.4,0.8,2,0.6,2,2,3.2,1.1,2.2,4.4,4.7,5.6,2.1,3,2,4.5,5.2,2.4,2.2,1.7,1,2.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.3,4.5,0.9,1.8,3.8,2.55,5,3.1,5.5,1.8,2,2.8,0.5,0.4,4.6,2.8,4.5,4,2.9,0.4,3.7,2.1,1,0.8,2.3,3.6,1.8,1.4,0.3,4.9,2.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.7,5.5,0,2,3.4,3.3,1.2,4.1,2.95,2.8,2.7,1.8,3,2.2,2.4,2.5,2.5,1.5,3.8,1.2,2.4,1.5,1.2,3.5,2.1,4.1,0.8,6.2,1.5,0.4,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.2,1.4,5.05,1.6,3.6,1.9,1.7,4.7,0.6,2.2,1.6,5.4,3.8,2.7,3.9,2,2,2.2,1.9,6.8,3,2.6,4.3,0.9,1.6,3,1.6,0.5,0.3,0.2,2.5,3.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.1,1.9,1.15,1.25,2.6,6.2,2.2,3.7,2.4,2.2,2.3,1,3,3.3,3.8,0.9,2.9,2.2,2.3,2.4,5.1,3.1,1.2,0.5,3.4,1.3,4.5,2,0.4,0.5,5,4.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.9,3,3.65,2.9,2.5,3.6,1.6,4.3,0.4,2.8,2.2,6.1,3,1.2,2.1,3.4,1,2.8,7,5.7,1.1,3.1,3.6,1.2,5.4,2.3,1.3,5.2,0.3,1.5,0.8,1.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,6.2,4.1,0.55,0.9,5.3,2.7,1.9,4.2,0.6,6.2,1.1,4.3,2.9,0.4,2.2,3.2,1.5,2.5,4.7,2.2,2.8,3,4,3.3,0,8.3,1.5,5.4,5.2,1.5,4.8,3.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,5.9,2.2,6.8,4.5,1.9,6.5,7.5,3.4,0.9,2.2,3.5,5.1,4.2,3.8,4.6,2.4,5.5,3,5.1,2.3,2.3,5.9,5.1,2.4,6,3.6,3.8,3.8,1.7,5.4,4.5,5.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
