"SHERBOURNE (SEW. DISPOSAL WORKS)",,,,,,,,,,,,
Grid ref,ST629154,Long,-2.529361,Lat,50.936843,,,,,,,
Station no,1543/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,2.39,0.86,1.62,3.08,4.04,2.47,2.81,5.22,,,
February,5.05,0.58,1.65,2.95,2.15,0.14,4.20,4.23,0.29,,,
March,3.17,2.90,0.58,3.73,1.50,0.75,2.08,0.88,3.73,,,
April,3.11,1.93,2.95,0.26,0.84,1.30,0.38,0.74,2.90,,,
May,2.94,3.17,2.00,2.11,4.00,0.55,1.47,2.32,1.74,,,
June,0.56,2.18,2.87,3.11,2.20,2.17,1.21,4.15,1.16,,,
July,2.03,0.69,3.27,2.94,2.68,1.68,3.69,1.88,1.49,,,
August,4.40,5.50,2.00,2.59,0.77,4.27,2.71,2.69,1.24,,,
September,3.36,3.34,3.36,2.69,1.60,5.30,3.13,5.33,0.13,,,
October,1.07,3.78,3.61,2.20,2.44,1.97,2.32,2.94,3.31,,,
November,9.75,4.16,1.26,7.22,3.46,0.83,2.22,3.45,4.67,,,
December,3.31,2.34,0.72,2.85,4.89,5.13,3.01,4.24,8.46,,,
Total,41.97,32.96,25.13,34.27,29.61,28.13,28.89,35.66,34.34,,,
Calc annual,41.97,32.96,25.13,34.27,29.61,28.13,28.89,35.66,34.34,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,,
