CRIEFF OCHTERTYRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN831236,Long,-3.895159,Lat,56.390164,Elevation,326,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,8.31,4.58,9.65,3.01,9.18,2.98,3,2.42,0.7,,,,,,,,
February,,,,1.6,2.97,1.69,4.57,3.8,1.88,4.53,4.06,5.88,,,,,,,,
March,,,,1.49,2.8,2.86,4.5,1.7,0.67,4.29,3.13,3.07,,,,,,,,
April,,,,0.29,2.37,0.91,3.52,3.68,2.17,2.41,3.17,0.57,,,,,,,,
May,,,,3.55,2.07,1.93,0.19,1.81,5.04,1.69,0.69,3.26,,,,,,,,
June,,,,1.48,1.27,2.63,3.84,6.41,3.28,4.95,1.55,3.49,,,,,,,,
July,,,,6.53,4.23,2.68,1.58,3.8,0.25,3.38,3.49,3.22,,,,,,,,
August,,,,3.52,3.38,2.46,3.32,6.61,3.98,5.53,1.16,3.37,,,,,,,,
September,,,,3.34,4.6,5.25,2.84,2.78,3.59,3.16,3.43,2.69,,,,,,,,
October,,,,4.94,6.93,5.37,6.7,8.38,4.39,1.29,0.39,4.8,,,,,,,,
November,,,,3.53,5.11,5.07,4.51,6.89,2.26,1.25,4.35,8.02,,,,,,,,
December,,,,3.16,2.32,6.04,11.32,5,1.97,3.11,3.44,4.14,,,,,,,,
Total,,,,41.74,42.63,46.54,49.9,60.04,32.46,38.59,31.28,43.21,,,,,,,,
