"CRIEFF OCHTERTYRE",,,,,,,,,,,,
Grid ref,NN831236,Long,-3.895159,Lat,56.390164,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.61,3.29,2.62,7.59,4.37,,,,,,,
February,3.29,0.97,1.75,6.92,4.47,,,,,,,
March,1.21,2.75,2.07,8.03,2.28,,,,,,,
April,2.65,3.29,2.21,1.20,3.83,,,,,,,
May,3.28,2.14,1.62,1.78,3.25,,,,,,,
June,3.20,3.66,1.82,3.00,1.99,,,,,,,
July,2.54,2.34,2.81,4.21,2.60,,,,,,,
August,3.42,3.56,3.98,5.70,4.53,,,,,,,
September,3.28,3.46,2.82,4.63,5.01,,,,,,,
October,4.53,4.46,2.70,9.42,1.53,,,,,,,
November,5.70,2.04,4.78,2.19,0.74,,,,,,,
December,7.23,4.49,6.30,4.28,3.54,,,,,,,
Total,45.94,36.45,35.48,58.95,38.14,,,,,,,
Calc annual,45.94,36.45,35.48,58.95,38.14,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
