CRIEFF OCHTERTYRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN831236,Long,-3.895159,Lat,56.390164,Elevation,326,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,3.48,8.2,5.15,3.08,5.13,4.31,4.85,2.18,8.08,2.29,2.98,2.23,6.62,2.72,2.03,2.07,2.24,6.33,5.61,3.29,2.62,7.59,4.37,,,,,
February,,,4.1,5.42,6.65,6.87,1.38,2.93,0.59,1.59,1.06,0.58,1.75,4.73,7.96,0.44,1.13,2.63,1.9,4.6,3.29,0.97,1.75,6.92,4.47,,,,,
March,,,4.58,3.09,4.91,2.9,3.88,1.69,3.31,0.81,2.08,2.66,1.16,0.95,3.87,2.7,3.42,5.86,0.78,3.55,1.21,2.75,2.07,8.03,2.28,,,,,
April,,,2.78,1.75,1.85,2.65,1.98,2.2,2.23,4.13,1.37,1.86,0.58,0.96,1.54,1.97,1.21,2.64,4.46,3.24,2.65,3.29,2.21,1.2,3.83,,,,,
May,,,2.3,1.79,3.17,3.75,3.21,0.48,4.13,3.85,2.07,2.9,3.43,1.23,2.28,1.23,0.52,2.2,2.68,3.81,3.28,2.14,1.62,1.78,3.25,,,,,
June,,,3.72,4.95,0.87,0.9,1.2,1.31,3.58,0.93,3.48,1.34,4.3,3.15,2.91,2.33,4.46,6.74,1.8,2.11,3.2,3.66,1.82,3,1.99,,,,,
July,,,5.42,5.49,4.69,1.1,3.09,2.36,6.62,1.97,3.6,1.93,1.78,2.9,3.34,3.64,3.81,1.2,0.75,3.63,2.54,2.34,2.81,4.21,2.6,,,,,
August,,,1.71,3.68,2.83,4.85,2.18,3.88,2.3,4.91,2.63,5.55,5.85,4.17,5.77,6.92,1.57,7.04,3.81,1.65,3.42,3.56,3.98,5.7,4.53,,,,,
September,,,3.76,3.04,2.65,6.26,4.83,3.66,0.54,0.82,2.03,4.93,2.68,1.15,0.21,1.75,6.11,2.01,3.97,4.68,3.28,3.46,2.82,4.63,5.01,,,,,
October,,,6.41,3.79,3.59,2.85,5.02,0.91,3.17,4.03,3.49,6.17,4.68,2.52,3.18,2.05,3.35,3.25,5.41,2.74,4.53,4.46,2.7,9.42,1.53,,,,,
November,,,6.69,5.65,5.08,2.67,3.9,3.88,7.89,1.43,6.94,5.12,3.86,2.88,4.51,6.12,0.9,3.37,5.69,7.06,5.7,2.04,4.78,2.19,0.74,,,,,
December,,,4.4,2.65,5.3,2.31,3.27,2.56,4.39,2.2,1.13,5.97,1.08,4.06,3.83,5.08,6.24,5.54,6.21,4.72,7.23,4.49,6.3,4.28,3.54,,,,,
Total,,,49.35,49.5,46.74,40.19,39.07,30.17,43.6,28.85,37.96,41.3,34.13,30.93,46.02,36.95,34.75,44.55,39.7,48.12,45.94,36.45,35.48,58.95,38.14,,,,,
