REDLYNCH-GRANGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU194210,Long,-1.7249794,Lat,50.988078,Elevation,300,ft,,,,,,,,,,,,,
Station no,1526,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.69,5.85,1.55,5.02,2.55,2.71,2.71,,,,,,,
February,,,,,,,,4.53,2.49,1.06,0.94,2.45,0.16,4.96,,,,,,,
March,,,,,,,,3.89,3.11,0.18,1.52,0.79,1.85,3.95,,,,,,,
April,,,,,,,,2.18,2.16,1.01,2.67,2.86,3.79,1.49,,,,,,,
May,,,,,,,,0.72,1.58,2.77,2.46,2.63,3.69,1.92,,,,,,,
June,,,,,,,3.02,2.53,2.31,1.71,0.86,2.77,2.3,1.8,,,,,,,
July,,,,,,,2.03,2.74,1.49,1.71,2.5,4.19,2.07,2.08,,,,,,,
August,,,,,,,1.25,4.12,2.51,1.46,4.1,5.29,2.44,0.74,,,,,,,
September,,,,,,,0.71,6.29,1.99,0.31,3.98,2.19,3.94,2.39,,,,,,,
October,,,,,,,2.87,2.66,6.93,5.01,2.19,0.69,5.36,,,,,,,,
November,,,,,,,9.97,3.68,3.35,9.25,5.31,5.3,1.45,,,,,,,,
December,,,,,,,0.41,4.49,2.85,8.05,3.9,0.78,1.43,,,,,,,,
Total,,,,,,,,40.52,36.62,34.07,35.45,32.49,31.19,,,,,,,,
