GREENFIELD-CHEW-GREAT-GRUFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE032013,Long,-1.9532194,Lat,53.508378,Elevation,1650,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3093/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.73,2.48,4.16,4.65,5.74,8.27,5.18,6.01,4.07,12.1,4.08,4.68,7.37,6.91,3.12,6.11,4.79,6.14,4.95,5,5.24,7.2
February,,,,,,,,,5.57,4.7,7,2,4.13,3.54,7.17,8.25,2,4.02,3.12,6,,2.41,,4.5,2.97,2.58,4.46,,0.84,3.45
March,,,,,,,,,3.38,4.68,6.7,3.57,2.15,1.17,2.21,1.94,7.5,1.85,2.88,3.54,,3.8,3.44,3.53,3.55,1.92,5.78,,2.63,1.79
April,,,,,,,,,3.12,3.2,3.59,1.96,2.72,3.94,3.22,2.5,3.75,2.25,5.26,5.4,3.4,4.54,4.22,1.55,2.91,4.11,0.99,,4.74,3.53
May,,,,,,,,,3,1,3.51,3.75,2.78,6.6,3.91,2.57,3.94,2,3.34,2.35,3.93,2.79,3.2,4.17,5.5,2.27,1.63,,2.03,2.52
June,,,,,,,,,4.38,0.95,2.19,1.46,5.62,4.45,7.34,4.59,2.83,5.46,1.31,3.8,1.74,4.13,5.19,5.1,4.78,4.32,3.38,,2.95,2.74
July,,,,,,,,,9.48,6.2,4.15,6.97,3.05,4.75,2.12,9.21,3.64,3.15,3.35,4.48,4.44,4.49,11.46,8.83,2.07,8.06,6.7,,4.72,10.57
August,,,,,,,,,2.82,3.6,7.52,5.89,8.32,5.24,4.32,6.1,0.3,6.52,4.15,6.24,8.18,3.89,7.67,7.99,0.84,14.85,7.94,,0.77,7.12
September,,,,,,,,,2.2,5.81,0.95,3.94,5.51,6.99,3.81,7.92,2.81,3.73,2.29,9.13,4.02,5.59,4.25,7.36,3.2,5.06,10.42,,0.37,3.72
October,,,,,,,,,3.41,4.93,7.4,8.53,3.56,4.91,6.62,1.34,1.51,3.96,4.38,2.96,1.26,5.94,2.54,10.31,3.18,4.02,7.87,,4.73,5.55
November,,,,,,,,,9.02,8.88,3.52,1.35,5.1,9.23,1.23,8.78,8.19,3.47,8.83,7.91,10.4,4.46,5.62,7.26,2.63,2.65,3.73,,6.4,5.73
December,,,,,,,,5.48,4.86,7.1,3.75,4.83,3.06,4.89,3.33,5.26,6.88,3.83,8.87,,8.3,5.58,3.26,9.58,6.77,6.68,7.26,,7.11,4.03
Total,,,,,,,,,56.97,53.53,54.44,48.9,51.74,63.98,50.46,64.47,47.42,52.34,51.86,,,54.53,,76.29,43.19,62.66,65.11,,42.53,57.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Great Gruff.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is 20 ft. too high or the NGR is 200m W and clsoer to Great Gruff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fem/Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
