"FRANT HIGHFIELD",,,,,,,,,,,,
Grid ref,TQ6117236281,Long,0.300686,Lat,51.103178,,,,,,,
Station no,398,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.57,5.13,1.15,1.88,0.99,,
February,,,,,,0.95,2.45,1.83,1.24,0.35,,
March,,,,,,4.42,2.34,0.80,2.75,4.55,,
April,,,,,,2.44,0.96,2.86,1.69,1.26,,
May,,,,,,1.32,2.37,2.44,1.84,1.37,,
June,,,,,,4.45,2.04,2.63,2.24,3.04,,
July,,,,,,0.60,0.25,1.51,3.69,3.17,,
August,,,,,,2.39,1.32,1.99,4.02,2.85,,
September,,,,,,2.01,1.70,0.52,2.37,3.40,,
October,,,,,,2.24,4.97,6.07,2.12,8.04,,
November,,,,,,5.49,7.37,2.44,0.73,1.18,,
December,,,,,,1.03,2.14,3.90,3.26,4.63,,
Total,,,,,,28.91,33.04,28.14,27.83,34.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.91,33.04,28.14,27.83,34.83,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,,
